#{"t_start": 1631305627.090758, "env_id": null}
r,l,t
-0.49025822,311,5.91161
0.36852455,323,14.442717
1.606458,307,22.672001
0.27095202,325,31.239085
0.4253245,308,39.519337
0.5119432,307,47.680655
0.5065354,320,56.190775
1.7905924,337,65.065686
1.2849033,340,74.084516
-0.41379598,354,83.410168
-0.2751798,337,92.309061
1.6812887,356,101.617722
0.89870894,349,110.79846
0.94266343,358,120.309003
1.2407742,366,130.013438
0.6974442,378,140.192602
0.5699533,358,149.646179
1.1899314,359,159.099757
2.9771996,365,168.675265
1.6949599,375,178.476645
0.24693866,377,188.490901
-0.12998083,387,198.652075
0.38500383,384,208.736291
0.60434914,387,218.862483
-1.0299169,371,228.589905
2.0052333,379,238.534202
0.7801258,373,248.284611
0.29230854,385,258.429792
0.11125338,388,268.489022
0.6341223,393,278.672182
1.2554387,413,289.490978
-0.7783508,397,299.869026
0.063610785,410,310.559896
-0.20617147,396,320.894967
-0.24878436,415,331.973616
-0.34314272,406,342.624507
0.8607259,402,353.206437
2.8229928,408,363.99525
1.2337693,411,374.711105
-0.21616958,402,385.161111
1.0297277,410,395.847982
0.18756597,414,406.634796
0.028624944,411,417.442597
0.5808472,420,428.594202
0.76850533,400,439.0632
0.8368278,419,450.799469
0.6872416,414,462.092991
-1.273364,404,472.896797
-1.6237822,406,483.723588
1.5115358,406,494.477419
1.5098555,393,504.838476
0.850961,386,514.911701
-0.2736539,393,525.266761
-0.91171724,400,535.865685
-0.88091683,403,546.540561
-0.99045545,409,557.327375
0.20947564,412,568.170156
0.088636935,404,578.787068
-0.8183712,399,589.265058
-0.900905,377,599.213355
0.2643619,387,609.422501
1.377992,396,619.956457
-0.72828805,387,630.198584
1.983244,390,640.433713
-0.39478028,368,650.117159
0.5667921,376,660.043468
0.48124242,376,669.982767
0.63292336,371,679.704194
-0.8305773,371,689.565537
0.9210259,386,699.652751
0.6852333,379,709.881886
0.57157844,359,719.67827
0.31325307,386,730.385127
0.44036943,392,742.196353
0.75567627,367,753.274999
0.24565186,375,764.832372
0.8528574,363,775.049514
0.2949009,381,785.810343
2.4576716,394,796.723082
0.44993097,367,807.164093
1.059533,370,817.449196
-0.26348314,362,827.498433
1.0355223,369,838.327222
0.4510907,367,848.967121
0.36461955,381,859.525065
0.06677445,368,873.677948
1.7554364,385,900.599509
1.461026,377,916.617323
0.37515053,383,928.197682
1.4514785,364,937.874132
2.9573607,360,947.436649
-0.38956428,374,957.386943
0.85485625,369,967.222302
1.4343415,373,977.1646
0.9422421,392,987.582624
-0.7822262,378,997.642855
3.4874988,386,1007.893975
-0.6085107,371,1017.712346
3.6410804,354,1027.144936
3.5707843,349,1036.469589
