#{"t_start": 1631304551.7184784, "env_id": null}
r,l,t
-0.358381,261,4.606361
-0.6999972,248,11.280535
-1.2318329,285,18.781234
1.372875,302,26.650718
1.1963812,309,34.766066
2.5410058,287,42.293746
3.8148494,287,49.85641
3.6320517,319,58.216615
4.009332,338,66.964598
0.48367664,336,75.748561
5.0811114,337,84.50454
5.0284944,357,93.837187
5.9616523,383,103.863436
4.8754725,397,114.104564
5.219967,417,124.773445
0.22709513,408,135.447324
2.5554037,416,146.174174
0.6109128,414,156.956989
1.7691371,415,167.760792
0.5283351,431,179.006345
-0.70151556,414,189.646241
-0.34857956,394,199.773432
-0.7759213,430,210.879063
1.3058432,419,221.693861
1.5010855,429,232.75152
-0.77009624,399,243.075601
0.25758615,420,253.85242
-1.3580896,401,264.444345
1.3573118,423,276.087667
1.0954887,430,287.599066
0.7287258,437,299.373316
-0.6544026,424,310.631856
0.26673648,440,322.238199
-0.69371694,425,333.476755
-0.16188449,415,344.428475
-1.7453068,443,356.214714
-0.90207183,415,367.203412
0.96934915,426,378.562897
3.2133415,417,389.633548
0.14066853,424,400.813137
0.17943445,412,411.726879
-0.5238155,407,422.552669
-0.8116408,423,433.717266
-0.114173904,426,444.970813
0.44682807,426,456.161395
0.04431432,419,467.228049
2.4295423,415,478.151784
-0.07031853,411,489.091513
0.88612336,411,500.057223
0.21317308,406,510.917992
-0.17034993,422,522.15255
0.63911086,386,532.660523
1.3510655,422,543.856102
1.1819533,434,555.502424
2.48887,413,566.589065
-0.31403846,423,577.970538
-0.0053772028,419,589.129138
0.09639369,422,600.502616
0.73425484,408,611.430349
0.45672533,427,622.821815
-0.07938752,405,633.606631
-0.19071303,441,645.41186
1.5507479,418,656.569463
3.7690277,429,668.005906
-0.22123338,440,679.819128
0.013579876,425,691.186609
-0.27710724,436,702.855916
1.859148,434,714.372313
2.3602488,418,725.577886
0.53808665,409,736.513616
0.90626633,435,748.072985
1.8323085,419,759.19161
-0.34515536,440,770.911886
2.244068,427,782.289364
0.09293222,434,793.95867
-0.0521237,418,805.17024
2.84319,450,817.205339
0.07877641,426,828.619792
0.28565595,444,840.560944
-0.5465596,409,851.576625
0.47624806,431,863.112011
0.4204014,431,874.370553
-0.46539098,416,885.251314
1.0980335,433,896.633787
0.57681763,430,907.949297
-0.26539996,445,919.585623
-0.5937685,442,931.115012
0.36417496,422,942.17467
-0.8515208,442,953.69706
-1.021923,417,964.566827
-1.2866726,419,975.496561
-0.20765015,426,986.635172
-1.5324634,438,998.055623
-0.82805735,420,1008.966363
0.68851537,424,1019.975051
-0.4779203,438,1031.386506
0.043254975,409,1042.008415
0.5755469,430,1053.184007
1.311006,407,1063.8319
0.48879576,405,1074.433818
