#{"t_start": 1631306664.5637846, "env_id": null}
r,l,t
-0.054465983,317,6.185438
3.478707,318,14.709551
2.42404,352,24.261074
2.5545948,312,32.684243
0.03865311,290,40.496763
2.1099892,311,48.880953
0.46430734,307,57.226166
-0.17085299,311,65.622355
0.13801296,354,75.253828
3.0309348,336,84.242673
3.3007681,327,92.947683
1.7312443,322,101.610713
1.8672211,333,110.580568
2.1636746,313,118.926782
1.5003263,321,127.57882
0.8838043,304,135.649192
3.3405437,329,144.49312
1.4291735,344,153.703838
0.381891,335,162.640712
0.5713232,334,171.676531
0.9874492,329,180.508465
2.051233,343,189.645227
0.9950597,350,199.043834
-0.6309378,344,208.183594
1.9802922,340,217.282375
0.81037086,317,225.884441
-1.2640018,349,235.253071
2.5085797,357,244.869556
-0.9200605,352,254.248175
-0.4705287,346,263.543847
-1.0818727,334,272.516702
1.5637705,331,281.459571
0.950554,354,290.988105
1.7779473,340,300.236801
0.9327479,346,309.42953
1.1403303,346,318.7242
0.28762412,342,327.953906
0.4346947,354,337.434468
0.4533436,370,347.33679
0.2092882,367,357.142167
-0.17752427,358,366.76165
4.8428726,356,376.38513
2.9767802,355,385.963638
-0.20660444,360,395.64209
-1.0347297,350,405.006716
1.3792007,373,414.956011
0.05906193,355,424.551508
1.5405102,356,434.118023
3.9593933,368,443.968371
0.54070723,358,453.49391
0.7754835,350,462.881525
3.3076558,348,472.099238
3.1585312,384,482.40233
1.2672111,402,493.075208
2.5306847,375,503.010511
1.6925926,397,513.523482
1.861129,387,524.016464
2.3190987,381,534.277579
0.9923098,379,544.453744
-0.59572995,391,554.90475
-0.3191798,403,565.682571
0.348919,388,576.014645
0.32974494,410,586.99635
-0.09942901,388,597.414372
0.2701322,390,607.834395
-0.38756478,418,618.97001
-1.1969414,428,630.477409
-0.31715682,405,641.267221
-0.36830574,417,652.97251
-0.01638531,410,664.005181
-0.10895625,394,674.884941
-0.36444265,402,685.498854
0.7213477,406,696.37162
1.4277811,407,707.229392
1.4767205,419,718.469945
0.23354365,415,729.62155
-0.12027251,409,740.525296
1.9139639,420,751.672904
-0.048098955,424,762.971424
3.3041542,409,773.933138
-0.5759062,420,785.110728
0.410288,427,796.528181
-0.67030185,409,807.463911
0.44636697,436,819.158202
2.0811498,410,830.156894
-0.31672725,428,841.58534
-0.48005736,421,852.923837
1.0838503,421,864.132408
-0.07345268,418,875.335983
0.06376244,408,886.305693
0.4089281,427,897.83708
0.2466177,416,909.010671
0.12107504,425,920.361163
2.0044801,427,931.833583
1.9123805,433,943.556859
0.30433467,427,954.996299
0.1495312,428,966.458726
-0.6692668,429,978.015097
0.77969784,444,990.017214
-0.4759018,434,1001.746488
