#{"t_start": 1631303579.8573015, "env_id": null}
r,l,t
-1.3119662,318,5.881624
1.5354354,336,14.37975
0.16118751,342,23.185701
-1.1047835,339,31.859726
-0.5972033,335,40.402826
0.91409576,327,48.774025
0.8051796,312,56.788429
0.31290627,314,64.750863
0.9974179,320,72.907186
1.1102308,327,81.289378
0.20794296,327,89.619601
0.25489026,315,97.663987
1.6681921,338,106.110144
0.24539626,340,114.758183
1.3395311,357,123.855966
0.39414644,343,132.528994
0.4465243,358,141.657758
1.0165865,360,150.770531
0.28019825,366,160.111173
1.1231018,371,169.477803
1.8087859,337,178.038894
1.4749357,377,187.65138
0.2096864,334,196.113528
0.49024686,365,205.435184
1.365257,361,214.58993
1.6511085,355,223.609757
3.3685951,354,232.594604
-0.23067686,375,242.1951
1.4434515,371,251.59671
0.2611913,395,261.677928
1.6758868,352,270.588816
0.17750584,378,280.110355
0.43482792,400,290.172583
0.9559191,357,299.230391
0.8897751,344,307.950389
1.9788816,354,316.900257
5.7478337,377,326.440784
0.68196625,368,335.853387
0.5557871,366,345.194029
1.1979468,375,354.751549
1.3312016,376,364.314065
0.59373677,349,373.143002
-0.54267454,367,382.414684
-0.60642344,393,392.407953
-0.1100309,357,401.509733
0.41975608,381,411.153202
-0.8163742,350,420.031111
-0.05185297,360,429.247825
0.6590513,363,438.541496
-0.0993063,375,448.059038
1.2586112,394,458.066299
0.22488101,377,467.575845
0.6649545,375,477.501153
-0.11180001,395,488.337937
0.5230445,380,500.966694
0.3033859,368,513.343597
2.2619114,385,526.807876
-0.7314282,371,539.864387
0.32963,379,553.152766
0.27750224,377,574.980742
-0.11254527,383,585.34093
-1.0443757,391,595.422148
-0.06385155,377,605.224525
0.09709935,383,615.148834
0.42691103,379,624.828283
0.26739228,345,633.746168
0.6948973,369,643.230733
0.106620975,363,652.583365
-0.0020042553,381,662.332773
0.6871139,381,672.202114
0.30410203,367,681.659692
0.36818263,385,692.71635
0.2896925,358,701.905079
-0.7683864,390,711.857371
-0.66663814,378,721.627768
0.46156356,364,731.052365
1.7151196,377,740.728816
-1.0228351,394,751.00592
0.08637087,385,761.067152
1.600182,384,771.016447
-0.03787761,378,780.818823
0.42193836,376,790.583223
1.404165,376,800.274665
-0.42507815,371,809.931126
0.80412173,364,819.370714
0.22961804,400,829.717781
0.3318772,371,840.155793
-0.23580629,370,849.744294
-0.7906127,393,860.009408
1.2154659,365,869.593912
-0.4771531,393,879.826042
2.226443,389,889.937243
1.24076,386,900.061438
2.1318135,362,909.418071
0.56530833,380,919.189467
0.18961324,395,929.54953
0.745619,392,939.682714
0.8430478,402,950.125727
1.4959857,390,960.390839
0.8155747,403,970.867832
