#{"t_start": 1631300773.2830553, "env_id": null}
r,l,t
-0.6711334,422,2.368644
-0.31048912,441,4.621351
0.06944329,411,6.775115
-0.30378976,343,8.604067
-0.5270761,362,10.485988
-0.40007287,354,12.385898
-0.50140876,427,14.519673
0.9425064,414,16.485546
-0.57799804,382,18.457417
-0.64123464,380,20.427286
-0.5191442,392,22.515088
-0.79601574,355,24.330047
-0.18634473,352,26.155
-0.8192469,384,28.309765
-0.15356496,381,30.258648
-0.5326625,388,32.284486
-0.38250318,469,34.652128
-0.316005,342,36.427109
-0.9638789,404,38.636842
-0.1086909,403,40.69866
-0.26512837,373,42.697514
-0.3509302,383,44.686375
-0.4702716,354,46.53931
0.15440477,409,48.583139
-0.7224106,411,50.756891
-0.779847,398,52.761753
-0.027527232,381,54.762594
-0.43728074,400,56.939349
0.2777643,384,58.910216
0.02189459,408,61.038995
0.46011066,385,63.060836
-0.31673566,357,65.335532
0.06385888,381,67.716166
0.027534343,370,70.012849
-0.043872967,364,72.142627
-0.60789675,425,74.681183
-0.16201508,388,76.992846
-0.29941857,359,79.223566
-0.2948901,444,81.730129
-0.48897097,387,84.071785
-0.5861351,389,86.347481
0.80664873,399,88.760097
-0.5393068,377,91.020802
0.09152741,395,93.340471
0.004993509,432,95.860025
-0.563547,399,98.337605
-1.0582626,427,100.952107
-0.5637149,363,103.184825
-0.7324184,402,105.667402
-0.016046192,343,107.791183
0.5614605,371,110.210796
-0.9756117,362,112.502481
-0.89949435,354,114.609273
-0.3395188,421,117.174802
-0.4514669,426,119.719343
1.2620407,339,121.820138
-0.23052338,393,124.316706
-0.5407069,393,126.636375
-0.738565,355,128.791141
-0.17339435,348,131.013865
-0.64321554,413,133.487447
-0.068109766,376,136.040982
0.74268645,323,138.1028
1.1918882,347,140.381496
0.45652208,359,142.690168
0.27273586,382,145.021832
-0.62746066,335,147.219571
-0.3747794,347,149.421308
0.08578306,361,151.79095
-0.4109682,335,154.001683
-0.8284603,309,155.881604
-0.4754102,365,158.308212
-0.82572144,352,160.639874
0.94216454,328,162.728677
-0.9117652,353,165.063338
0.42193586,361,167.439978
-0.45282355,390,170.121437
-0.30181685,348,172.256212
0.25745603,368,174.625854
-0.5409455,383,176.948522
-0.720761,351,179.249202
-0.33668774,362,181.558878
-0.5323543,372,183.891539
0.18151076,354,186.236194
0.28124398,408,188.878681
-0.8233155,363,191.169367
-0.32369038,352,193.356112
-0.92962223,354,195.662789
-0.57047665,363,197.850534
-0.26952764,373,200.139221
-0.7264528,399,202.487875
2.517914,382,204.968452
-0.84592956,343,207.026272
0.61594665,338,209.064104
-0.12053582,331,211.228863
0.952234,340,213.334654
-0.36290172,371,215.670315
0.18203108,322,217.677163
0.2167863,359,219.906885
-0.7591786,365,222.114619
