#{"t_start": 1631300996.8688302, "env_id": null}
r,l,t
-0.83279717,341,2.129782
-1.0081421,379,4.604359
-0.57987094,361,7.475714
-1.4339551,367,10.359061
-0.34037,366,13.025531
-0.61366105,355,15.232268
-0.35774806,325,17.432003
0.0409098,378,19.720691
-0.92405856,297,21.653583
-0.44287392,352,23.753378
-0.5613514,351,25.933127
-1.1446149,353,28.097887
-0.9783257,322,30.401565
-0.5334786,305,32.239511
-0.8971805,314,34.234367
-0.24114166,324,36.392129
-0.53802633,323,38.461942
1.3023533,341,40.658682
-0.7970113,358,42.86242
0.3940732,367,45.096138
-0.1257603,371,47.401817
-0.69214565,346,49.468634
-0.40564722,340,51.672367
0.01158513,380,54.111967
-1.0530142,330,56.264735
-1.5955942,383,58.5884
-0.5213497,381,60.912068
-0.72702396,378,63.286705
-0.37124455,368,65.570395
0.26104718,371,67.965023
1.421726,336,70.135779
-0.8807696,352,72.638342
-0.7251366,363,75.274831
0.31389293,348,77.649468
-1.1656469,363,80.161029
-0.50356853,320,82.534668
-0.08966977,367,85.14817
-0.43911824,354,87.565782
-0.053143788,375,90.246246
1.5343761,347,92.721825
1.209723,347,95.165424
1.3876398,319,97.347172
1.7933135,333,99.680835
-0.5592069,315,101.905559
-0.6847693,358,104.390132
0.25563532,345,106.982647
-0.32170337,371,109.57616
1.8762997,286,111.63198
-1.3935984,363,113.998624
-0.51310456,358,116.316293
-0.72476006,311,118.423085
-0.8091407,372,120.806719
0.6287385,394,123.347262
-0.07879015,358,125.618958
2.281359,344,127.895653
0.07000758,370,130.213323
-0.94124043,374,132.507008
0.78229725,349,134.85666
-0.7560847,365,137.082384
-0.12422908,346,139.34009
1.6691251,339,141.575806
-0.6242601,332,143.736568
-0.12652686,338,145.940304
-0.83677584,342,148.272967
0.026732411,363,150.507684
0.16606964,359,152.913306
-0.6608243,343,155.030091
-0.42723626,338,157.15887
-0.34275454,401,159.684421
-0.7804131,372,161.966113
-0.68915683,325,164.187839
-0.040550217,332,166.321616
0.1536459,365,168.75322
0.08850599,342,170.895992
-0.118115515,347,173.152698
1.9046355,351,175.361432
-0.11080413,365,177.672105
-0.6187769,344,179.894831
-1.1570513,337,182.2175
-0.9500238,381,184.619123
0.43275735,352,186.932795
2.0173697,364,189.210488
-0.93404406,379,191.495179
2.0439308,374,193.901798
-0.42031592,341,196.225468
-0.51093733,371,198.505158
-0.68737537,348,200.724886
-0.9925848,349,203.007576
-0.16420747,404,205.534127
-3.1514075,11,205.604087
-0.23463073,388,207.976726
-0.5187734,391,210.311387
-0.033491954,383,212.751988
-0.9484042,372,215.007694
-0.8479234,389,217.416313
0.941768,390,219.738982
1.0286328,392,222.051654
-0.5501379,502,224.77809
2.364811,405,227.186709
-0.7009734,406,229.66029
