#{"t_start": 1631299993.0814433, "env_id": null}
r,l,t
-0.97817683,378,2.521555
0.9326197,343,4.603361
1.4587176,362,6.946018
-0.7481766,319,9.001839
-0.6315184,354,11.289529
-0.09600886,339,13.335353
-1.0972904,309,15.342202
-0.3788164,328,17.484974
-0.9951195,308,19.49482
-0.48866615,351,21.570629
-0.53141,353,23.608461
1.2933549,346,25.828189
1.0654043,333,27.852028
0.7349865,344,29.954821
0.17272829,324,32.034628
0.46171382,321,34.076458
-0.60123104,314,36.14627
-0.10567742,360,38.457945
-0.09334246,345,40.591721
0.0055169454,327,42.596571
-0.7533393,334,44.770324
0.8291301,334,46.830144
-0.94203687,363,49.113833
-0.81243217,335,51.114686
-1.2496839,323,53.1825
0.41843915,325,55.163364
-0.39667037,347,57.294142
0.54104877,299,59.265012
-0.5371463,347,61.603671
-1.1691287,356,63.794414
-0.83084095,339,65.333532
0.017867366,342,67.358371
-0.7746962,386,69.472158
-0.03364499,342,71.368071
-0.2820376,327,73.103076
-0.03452417,350,75.003985
-0.7570023,350,77.042816
-0.41349,350,78.929734
0.3242283,349,80.858628
1.3886882,341,82.594632
-0.8637721,319,84.374614
-0.54945827,323,86.27852
-0.98367554,331,88.121464
0.69403464,304,89.905441
-0.90213364,315,91.690416
-0.98822373,257,93.14858
-0.49541757,323,94.962539
-0.452993,306,96.683554
0.3016848,275,98.156709
0.79039526,338,100.128578
0.10151845,362,102.102445
0.7502733,338,104.060324
0.28504574,344,105.965231
-1.003507,332,107.83116
0.4812776,342,109.774045
0.26782373,348,111.717931
-0.55248374,323,113.515899
-0.17927608,304,115.166952
-0.5875644,303,116.802015
-0.096398525,311,118.484051
-0.54682654,339,120.362972
-0.15569474,338,122.199921
1.1712606,331,124.094831
-0.6537115,364,126.099683
0.91420466,349,128.137513
-0.9298822,343,130.104388
-0.37912947,355,131.985307
-0.17473859,340,133.773283
0.64920324,328,135.548264
-0.64653754,376,137.581098
-0.24412258,348,139.496
1.0059321,376,141.582803
-0.6333862,300,143.348791
0.26773185,329,145.11078
-1.0779543,343,147.00969
-0.24563575,316,148.773681
0.8065843,348,150.665594
-0.4977877,346,152.535523
-0.33386958,344,154.430434
-0.7834096,384,156.60119
-0.38470194,292,158.306212
-0.64761126,328,160.209121
-1.0724978,335,162.106034
-0.6682843,277,163.709113
-0.73833317,337,165.61502
-0.68381554,328,167.41699
1.1023673,329,169.260931
-3.0203934,12,169.345881
-0.8909049,339,171.217807
1.8403618,312,173.009779
-0.8032532,305,174.798753
-0.30811197,357,176.777619
-0.5135292,331,178.582583
0.56810564,294,180.149686
0.055084478,336,181.958649
-0.39829704,295,183.764612
-0.891344,345,185.648532
0.6419868,300,187.434508
0.90960306,293,189.169513
-0.40483522,305,190.974478
