#{"t_start": 1631301462.6387124, "env_id": null}
r,l,t
0.27262262,500,2.420612
-0.44054428,480,4.724291
0.8859657,448,7.013979
-0.11604594,502,9.476565
5.020168,522,12.0331
-3.0106075,81,12.414892
-0.4140036,506,14.925441
-0.12744555,525,17.347052
-0.81268615,509,19.939565
-1.0377424,518,22.492102
-0.81059146,527,24.962684
-3.004455,120,25.54535
-1.0316478,539,28.162849
1.7679869,513,30.589457
1.471623,496,33.018066
-0.71775115,537,35.582593
-0.2871941,533,38.090156
-0.2820285,535,40.626701
-1.1094226,523,43.113275
-3.010168,84,43.573012
0.30812,513,46.143537
-1.6499494,486,48.487194
1.5728838,527,51.017742
-0.19264166,484,53.459343
1.4542484,488,55.899942
0.57284,478,58.388515
-0.5535548,503,60.775146
-1.346699,502,63.218745
-0.23589128,522,65.752291
-1.6564887,547,68.267848
-1.7774693,521,70.690461
0.21090803,507,73.138056
-1.1831487,485,75.538679
0.04062568,498,77.966287
-1.1949055,501,80.416881
1.367762,543,82.964421
-1.0975349,530,85.659874
-0.7456287,517,88.178432
-1.1083649,487,90.596043
-1.4825466,508,93.040642
-0.03793933,496,95.450262
-0.9292685,528,97.949827
2.0135992,499,100.381432
-0.966563,526,102.969947
-0.96124685,515,105.439533
0.9527119,474,107.820166
-1.1530623,477,110.280756
0.92182994,492,112.74634
-0.41176993,476,115.220922
-0.4099708,492,117.752469
2.588008,473,120.122111
-1.0038915,523,122.672648
0.96532965,469,125.088263
-3.0039873,164,125.918786
-1.09614,453,128.312414
-0.98564106,463,130.552129
0.6775297,497,132.977738
2.3765118,487,135.323393
-0.86892205,519,137.794975
2.077378,466,140.154623
0.45102888,444,142.303391
-0.75787896,466,144.755985
-0.17584097,483,147.192586
0.9157028,497,149.666171
-0.84140366,512,152.090777
1.4465448,517,154.631319
0.9205611,523,157.267808
-1.0502633,519,159.806351
2.1045358,521,162.401864
-0.49209505,538,164.946405
-0.9227452,545,167.521928
-0.40887764,525,169.971523
-0.45473784,526,172.488079
-0.4794356,531,174.940672
-1.0155327,504,177.376275
1.6585542,513,179.778898
-3.0,301,181.114132
-0.48287538,489,183.531746
-3.0,301,184.909956
-0.7939655,531,187.359551
-0.80038697,544,189.832133
-0.35582724,553,192.542578
-0.913754,542,195.10211
-2.0539799,555,197.763584
-3.0,301,199.138795
1.0264968,549,201.618373
-3.0,301,202.920626
-0.87808335,542,205.310256
1.6234949,551,207.894773
-3.0,301,209.166044
1.3585706,555,211.764554
-0.8935866,550,214.272116
-3.0,301,215.612347
1.7201551,528,218.158887
-0.90852433,538,220.707425
-3.0,301,222.013677
-0.9274654,547,224.527236
3.58102,535,227.055784
-2.3029087,549,229.565345
-3.0,301,230.903581
