#{"t_start": 1631300571.2478673, "env_id": null}
r,l,t
-0.28706947,335,2.176751
-0.9548341,310,4.228574
-0.91908956,318,6.194448
-0.2416222,293,8.143329
-0.9322221,377,10.449008
0.17411894,329,12.637755
-0.63844687,318,14.712563
-0.2839643,315,16.663444
-1.2046976,334,18.928145
-0.19892547,296,20.813065
0.56874996,276,22.590044
-0.7635124,317,24.610885
-0.6746224,308,26.583757
0.20562354,296,28.58061
0.58442026,314,30.587458
1.4739044,331,32.611297
-0.672754,325,34.748071
0.07810019,294,36.632992
-0.5171231,348,38.789754
-0.2676555,312,40.715649
-1.0118587,322,42.744486
0.45917878,281,44.540458
-0.5165426,312,46.610268
-0.35319474,296,48.556152
-0.7758207,325,50.615972
0.30508617,302,52.57385
-0.37992123,328,54.59569
0.07859065,285,56.439631
-1.0829734,298,58.405504
-0.14277026,304,60.274432
-0.38703686,264,62.014435
-0.5169364,292,63.816401
-0.08675946,295,65.701321
-0.81608516,345,68.017991
-0.11559255,259,69.744003
-0.70942444,321,71.826807
-0.97094303,309,74.033542
0.7715543,325,76.710014
0.7054039,332,79.575363
1.4038137,340,82.503685
-0.566105,321,84.688431
-1.0864924,316,86.711271
0.24414723,288,88.580199
0.30667046,321,90.754952
1.5845696,312,92.741812
0.01276115,350,94.905572
0.79882973,271,96.601599
0.6810355,372,99.022212
1.172535,268,100.741225
-0.16515791,322,102.976942
1.8424127,329,105.070742
0.8265964,325,107.312457
-0.68977755,291,109.317307
-0.66088295,306,111.296172
0.45739302,348,113.543882
-1.2618903,276,115.354844
0.3116581,333,117.371689
-0.4989658,312,119.365545
0.105900325,318,121.298436
-0.122905485,297,123.261309
-0.014959508,373,125.526011
-0.26909274,340,127.689769
0.039034173,312,129.778571
-0.91603065,300,131.739449
-0.193331,349,134.059117
-0.3777737,304,136.023001
0.06484203,299,138.005853
-0.9322343,310,139.89677
-0.27743354,264,141.733716
-0.6603528,306,143.775546
-0.3148462,339,146.001269
-0.45238188,293,147.644326
-0.6872415,337,148.936584
-0.7778765,338,150.258826
1.9159205,378,151.617047
-0.9138583,363,153.031236
-0.30734232,370,154.780234
0.20834883,372,156.979971
-0.79223794,366,159.187712
-0.8934079,320,161.091615
0.49024448,354,163.013511
-0.3601079,376,165.201257
0.07111814,364,167.171128
-0.11648788,358,169.132004
-0.30896935,429,171.503644
-0.5598206,366,173.566459
-0.38054544,380,175.726222
-0.32944095,398,177.998917
-0.42180833,316,180.105773
1.0930964,414,181.772817
-0.5178501,429,183.320929
-0.5063719,373,184.723119
-0.38046947,404,186.65401
-0.20811138,328,188.388016
0.12629077,403,190.588753
-0.51759607,390,192.689549
0.112163186,340,194.510504
-0.38619763,377,196.631288
-0.3102488,405,198.656126
0.1198499,422,200.823883
