#{"t_start": 1631300372.5628135, "env_id": null}
r,l,t
-0.3031652,336,1.837945
-0.8845907,293,3.420039
-0.9971769,325,5.198017
-0.25713024,346,7.241845
-0.57529336,315,9.015828
1.0629497,291,10.665884
-0.7114252,334,12.619762
-0.08784518,324,14.382752
-0.30806178,301,16.065785
-0.3470038,236,17.401019
-0.8618482,332,19.256957
-0.35536683,286,20.897014
-0.2419564,283,22.524082
-0.22483322,302,24.287071
-0.7305831,305,26.066051
-0.91784614,349,27.973955
0.004382187,294,29.627009
-0.6937582,339,31.440967
0.24895783,277,33.029057
-0.33066058,258,34.448243
-0.44624233,300,36.026339
-0.059833046,337,37.849293
-0.015177441,320,39.575304
-0.20565836,281,41.082438
0.27357852,286,42.679523
1.0326593,314,44.470498
-0.6251078,276,46.011611
-0.41672912,274,47.567718
-0.592293,296,49.242757
-0.2209138,267,50.835844
-0.66411096,286,52.410942
0.023468977,291,54.038009
-0.6416065,303,55.837975
-0.19801632,338,57.687915
-0.82037956,363,59.634798
-0.9687841,333,61.483737
-0.39019153,315,63.2947
-0.35412392,263,64.795838
-1.4096044,305,66.574819
-0.6327852,357,68.546688
-0.64754826,367,70.595512
-1.1933522,327,72.441453
1.0940751,333,74.224431
0.1533887,322,76.14433
-0.45320615,361,78.16617
-0.6160453,364,80.123048
-0.047953542,344,82.084923
-0.16555186,291,83.775953
-0.42001078,302,85.474979
0.37047884,371,87.575774
-0.49298579,379,89.750528
0.12938438,341,91.660433
0.36436677,334,93.577332
0.25914448,335,95.430271
-0.7684369,368,97.534064
0.18552184,362,99.61587
-0.2606445,359,101.747646
-1.0564077,376,104.300185
-0.82447714,378,106.403977
-0.06690452,401,108.687666
-0.48031938,408,110.8964
-0.8134853,367,113.026178
-0.37442985,330,115.212924
-0.22763067,425,117.909378
0.4764841,365,120.183076
-0.38149068,352,122.367821
-0.7979306,350,124.598542
-0.6405721,364,126.761302
0.24957307,340,128.907071
-0.75728774,368,131.094817
-0.8742165,331,133.217599
-0.29131502,365,135.603231
-0.0208488,369,137.961879
0.4062859,323,140.06767
-0.5436962,363,142.372348
0.06974959,312,144.477142
-0.37779045,377,146.857776
-0.026476407,336,149.086501
-0.3212879,347,151.327213
0.36418864,378,153.752822
-0.32394716,342,155.900593
-0.16219191,358,158.153299
-1.0312041,355,160.342044
-0.8276866,348,162.578761
-0.40470642,367,164.981383
-0.36314,353,167.254079
0.40270382,355,169.511784
-0.30224252,362,171.893417
-0.8176866,379,174.287047
-0.4474759,349,176.543752
-0.48324034,367,178.785466
0.14917105,325,180.848284
-0.028893821,306,182.873122
-0.49672619,356,185.063866
-0.7112712,328,187.129696
-0.30377907,341,189.184502
-0.6064508,295,191.073419
-0.65696615,349,193.267161
-0.72078705,292,195.152081
-0.67325103,336,197.252874
