#{"t_start": 1631301228.0242634, "env_id": null}
r,l,t
-0.4807131,379,2.299681
1.3165228,435,4.821236
0.64066005,426,7.39376
-0.25044397,427,10.015256
-0.9292117,407,12.657742
0.11208251,402,14.995402
-1.1175815,407,17.413017
-3.0203934,12,17.495968
0.06474146,441,20.113466
0.9621063,439,22.695986
-1.3950868,453,25.464396
1.6684667,453,28.260794
0.048257224,413,30.791341
2.8673344,417,33.345877
0.0064823967,409,35.957378
-0.07450861,424,38.55389
-1.1390699,425,41.016477
-0.13559934,458,43.606992
-0.62706155,459,46.275463
-0.06386548,407,48.627112
-0.6638298,369,50.870828
-0.96048146,392,53.108542
-0.93913925,350,55.295289
0.76824,424,57.85582
-0.9414286,423,60.264441
-0.58540237,477,62.971886
1.0532151,452,65.640356
-0.69496655,471,68.414764
-0.8117376,458,71.191173
-1.0817246,490,74.192452
1.8523079,470,77.01883
-0.8525009,455,79.838214
0.4417627,434,82.422732
-1.6732384,461,85.196142
0.60792214,437,87.854616
-0.75869876,427,90.508095
1.0031116,399,92.829763
-3.0037317,95,93.328476
-1.5859371,447,96.108882
0.97861785,409,98.854309
-0.61255,398,101.447821
1.0120623,412,103.981368
-0.96536267,413,106.338016
0.87664634,425,108.546749
1.4239224,424,110.913391
-0.37689182,393,112.9902
-1.1160116,416,115.142966
-1.6059434,410,117.300729
-1.5680895,426,119.577423
1.4714091,437,121.801147
0.11914152,401,123.936923
1.3651586,402,126.304565
2.130244,382,128.536285
-0.9906938,361,130.543134
-1.1887429,378,132.66192
-0.58581847,380,134.69975
-0.1964067,376,136.831528
-3.0106075,81,137.197317
-0.39059517,374,139.316103
-0.2043539,423,141.658759
1.2421861,389,143.665608
-0.22457556,423,146.017261
-1.1714327,440,148.243984
-0.87061584,404,150.507684
-0.7006559,420,152.548515
-1.2401856,430,154.691284
0.066207714,414,156.956987
-0.35098985,466,159.293646
-0.7705953,409,161.408433
-1.9347813,439,163.619165
-0.6888976,452,165.889863
1.2185928,450,168.125581
0.0398891,471,170.518208
-0.20236595,420,172.779911
1.3106298,449,175.016629
-0.8149963,466,177.397263
-0.012053722,452,179.786894
0.8284756,507,182.242486
1.853741,450,184.566154
-0.5188523,456,186.804868
0.55586135,496,189.239472
-1.215391,441,191.400232
0.2540931,479,193.731895
-0.869998,483,196.106534
-0.115343355,435,198.313268
1.0299482,484,200.687906
-0.46876568,455,203.07054
2.2696137,469,205.488153
-0.8856221,451,207.745859
-0.09658039,466,209.97958
-0.9353916,445,212.273264
-1.046951,448,214.462007
1.7294617,485,216.96757
0.8018415,479,219.37219
1.9391347,425,221.53595
-0.9765623,488,223.879607
-0.44113547,499,226.378172
-0.5735185,473,228.686848
0.8631465,463,230.967541
-0.6182627,485,233.306202
