#{"t_start": 1631299572.257785, "env_id": null}
r,l,t
-0.8813176,338,2.21473
-0.14174399,366,4.434457
-0.79539955,384,6.568234
-0.46339592,380,8.718001
-0.71492684,368,10.744837
-0.4468456,345,12.690722
-0.2993417,328,14.492687
-0.2710942,334,16.318641
-0.6774813,328,18.135599
-0.8106474,368,20.083482
-0.8083327,380,22.077339
-0.5081679,363,24.08019
-0.82009435,319,25.747234
-0.39270237,408,27.860022
-0.95274365,304,29.581036
-0.7434555,289,31.274065
-0.2665681,350,33.205956
0.36404213,320,35.043902
-0.12615022,334,36.861859
-0.61183876,351,38.810741
-0.5988833,366,40.863565
-0.38963127,358,42.823442
-0.09999666,366,44.770324
-1.3339652,359,46.663238
-0.747856,381,48.792017
-0.010234678,337,50.616974
-0.21767505,335,52.526875
-0.23847653,361,54.464765
0.12841688,344,56.330695
-0.2765413,360,58.295568
0.99311805,338,60.031572
0.11067758,374,61.965463
-0.59618706,398,64.015288
-1.0975368,347,65.832247
-0.8118658,349,67.781137
-0.20196746,332,69.581095
-0.05940613,323,71.356078
-0.9087383,307,72.984144
0.18620418,317,74.767121
-0.55103755,373,76.863918
0.40806732,337,78.732846
-1.0387907,345,80.707714
0.022187924,331,82.480698
-0.83800715,292,84.092772
-0.5209195,343,85.966697
-0.32656443,313,87.761669
-0.29959804,323,89.512664
-1.0632913,337,91.427567
-0.7445218,317,93.133587
-0.7876115,371,95.183413
-0.6230728,311,97.01936
-0.019275544,318,98.800337
-0.9796695,327,100.615297
-0.44747764,311,102.348303
-0.5100471,320,104.0973
-0.41714144,304,105.848296
-0.36122254,370,107.896122
-0.9348273,320,109.768047
2.081517,300,111.410106
-0.72799057,320,113.232061
-0.6943816,344,115.123978
-0.14124177,360,117.230769
1.6646903,358,119.448496
-0.3638808,349,121.678218
-1.1512138,379,123.931926
-0.4120508,338,126.124668
-0.8104253,320,128.136515
-0.30611798,294,129.985454
-0.47107276,326,132.151212
0.677162,285,133.943185
1.7688503,324,135.941039
-0.70614356,379,138.187749
-0.1285966,306,140.164615
0.5329822,331,142.333373
-0.1530415,326,144.402186
-0.9011057,294,146.33008
-0.66887844,317,148.384902
0.669566,313,150.423733
-0.37047973,323,152.43658
-0.6552918,326,154.412444
-1.044691,349,156.551218
0.6550206,297,158.488109
1.1089579,347,160.795785
-0.030227587,293,162.641726
-3.0019608,53,162.966538
1.5271759,314,165.017364
1.4907444,332,167.040204
-0.57719487,339,169.309901
-0.5143889,355,171.568608
-0.2623646,337,173.820314
0.18903944,326,175.899122
0.20615667,371,178.22379
-0.76314586,309,180.217645
-0.48782882,340,182.32044
-0.6834332,341,184.503188
0.08281421,324,186.683937
0.33056182,309,188.651809
-0.43947393,334,190.816568
0.46281874,316,192.862394
-0.53712386,341,194.988175
