#{"t_start": 1631263803.4450362, "env_id": null}
r,l,t
-2.6157186,3147,96.479679
-1.4364047,2188,166.575478
-1.6895944,2040,231.956982
-1.6670688,2063,297.97812
-1.5587212,2118,366.071068
-1.6309965,2062,431.844348
-1.5697937,2009,496.262404
-1.6702045,2012,560.641484
-1.3825556,1873,621.009861
-1.9036702,1929,683.971754
-1.8992501,1913,745.653379
-1.8819937,2084,811.936366
-2.0151064,1914,873.715937
-1.9369636,2007,937.976082
-1.8752208,2008,1002.265213
-1.8319831,1986,1065.941694
-1.7948437,1969,1129.25039
-1.7323593,2056,1195.523384
-1.7477003,2139,1263.91116
-1.9030733,2024,1328.714997
-1.4067833,2092,1395.496695
-1.6697365,2078,1462.04653
-1.590934,2215,1532.546098
-1.5909325,2191,1602.642899
-1.8404305,2203,1673.004546
-1.4422749,2205,1743.215282
-1.8694975,2228,1815.118045
-2.0699382,2192,1885.187859
-1.4831678,2155,1954.159304
-1.6616398,2206,2024.660872
-1.6183813,2094,2092.024241
-1.586032,2123,2160.163162
-1.6364067,2189,2232.287801
-1.8217632,2124,2313.779064
-1.6426663,2105,2394.421815
-1.4483931,2232,2482.035569
-1.2387252,2166,2564.854074
-1.5581679,2139,2646.591197
-1.6356426,2130,2727.700682
-1.6832643,2202,2811.208792
-1.9969001,2267,2897.025574
-1.4072793,2094,2975.782408
-1.4748958,2187,3058.210136
-1.1757636,2185,3140.081182
-1.5805061,2094,3219.122852
-1.4653304,2210,3302.263172
-1.3886536,2148,3383.197755
-1.4833515,2235,3467.341501
-1.454044,2218,3550.407862
-1.4552495,2192,3633.059461
-1.2891457,2373,3721.838548
-1.5114604,2378,3801.627788
-1.5290388,2399,3894.589474
-1.4502841,2329,3983.712363
-1.6555805,2274,4071.303369
-1.5768679,2307,4161.543176
-1.4365989,2476,4257.542119
-1.4574401,2453,4358.243367
-1.5045344,2500,4459.709178
-1.3013715,2574,4564.850878
-1.417316,2545,4668.246582
-1.2842801,2642,4776.899269
-1.3335997,2762,4889.418741
-1.4063871,2588,4994.751333
-1.4686598,2686,5104.028662
-1.4467236,2772,5211.656938
-1.4105667,2788,5309.873612
-1.3839144,2899,5412.267889
-1.4539047,2867,5514.047518
-1.5477755,2750,5611.530611
-1.4199785,2800,5710.12307
-1.3330679,2839,5812.362435
-1.3342379,2836,5912.095238
-1.4347674,2900,6014.027783
-1.440456,2906,6116.848813
-1.3533611,2921,6219.332039
-1.4837525,2969,6323.60324
-1.5620505,2921,6426.032496
-1.2916931,2973,6530.121801
-1.4432106,3096,6638.779489
-1.4669374,2999,6744.047117
-1.3634068,3041,6850.623995
-1.3065878,2988,6955.684743
-1.3536488,3038,7062.38755
-1.2899752,2967,7166.27997
-1.3463507,2986,7271.028894
-1.3948063,3047,7379.076929
-1.3665498,2961,7482.828429
-1.4071505,2987,7588.612761
-1.3877981,3016,7694.831844
-1.514086,3063,7815.044917
-1.3577745,2974,7937.252832
-1.22988,3031,8059.068969
-1.2989149,3002,8180.639249
-1.4288872,3081,8306.304184
-1.4157519,3147,8434.2588
-1.3136041,3012,8556.71857
-1.3015469,3151,8685.411764
-1.3666648,3108,8812.10111
-1.3028368,3105,8931.542609
