#{"t_start": 1630988926.8064156, "env_id": null}
r,l,t
-1.8558502,2083,70.216731
-2.1282012,2066,146.244128
-2.1569116,1988,223.76667
-1.9182523,1888,293.885456
-2.1323042,1722,354.149426
-1.8600842,1894,421.577785
-1.7634096,1899,490.190407
-1.3084347,1654,550.300934
-1.462426,1647,608.0788
-1.523921,1506,656.960764
-1.4899563,1426,705.349015
-1.6628436,1363,757.206275
-2.1050339,1409,810.131946
-2.2063465,1475,865.755023
-1.5987163,1415,917.783185
-1.0406291,1388,968.186301
-1.7719345,1399,1018.859217
-0.5269971,1439,1072.578411
-1.1082987,1532,1130.72293
-2.7218132,1669,1191.664979
-1.4425365,1656,1252.410142
-1.8614668,1573,1311.065502
-1.7836396,1514,1368.080579
0.60545313,1466,1423.893572
-1.0349668,1578,1480.087343
-3.00078,1588,1540.145467
4.619761,1611,1599.828258
-2.0745497,1928,1668.607322
-0.59389347,2156,1745.730094
-0.48880422,2209,1821.277766
0.96708417,2645,1918.927091
