#{"t_start": 1631243191.5739696, "env_id": null}
r,l,t
-2.9888635,1812,54.887502
-1.3444467,2120,126.188613
-2.9894805,2107,198.754995
-2.2516785,2071,272.244853
-2.5538337,2123,363.451542
-1.6603256,2102,434.47481
-2.846142,2063,502.176985
-1.3872457,2018,568.104174
-1.6207166,1982,632.87503
-1.694137,1815,692.08907
-2.270573,1806,751.350086
-2.5639641,1838,812.796844
-1.4926709,1774,880.774858
-1.8704339,1686,936.792733
-0.61973566,1611,991.244021
-0.53794044,1554,1043.152251
-1.2089851,1465,1099.869725
-1.0160824,1501,1157.220833
-1.6026832,1518,1214.864177
-1.5008364,1642,1277.225413
-2.1737075,1599,1338.26041
-1.6766409,1474,1395.724455
-1.1883777,1480,1452.764742
-1.5127027,1462,1507.821167
-1.409759,1552,1566.201687
-1.7299546,1463,1621.325074
-1.7577705,1477,1678.01856
-1.664205,1469,1733.62967
-1.4510959,1515,1792.948652
-1.9165472,1503,1851.721942
-0.49745342,1523,1911.402715
-1.9293616,1520,1970.830634
-1.8755075,1524,2031.274969
-1.7430472,1524,2091.139637
-1.779463,1545,2151.981744
-1.516597,1550,2213.088699
-2.0338638,1483,2272.70451
-2.109255,1468,2330.171553
-1.7410201,1486,2387.492679
-1.5618312,1522,2444.6479
-1.6905638,1511,2502.03499
-1.3939319,1553,2561.45991
-1.6635538,1535,2620.062301
-1.5531534,1532,2677.943107
-1.7028039,1511,2735.071344
-1.9056563,1530,2793.104062
-1.2565614,1574,2852.804824
-1.5225143,1567,2912.203759
-1.5170201,1594,2972.540156
-2.055889,1603,3032.946513
-1.2536556,1546,3091.200105
-1.541472,1507,3147.944562
-1.6092334,1592,3209.6102
-1.6323261,1553,3268.304538
-1.2774115,1641,3330.229023
-1.713783,1618,3391.391946
-1.8793598,1677,3454.519742
-1.7835971,1699,3518.963784
-0.4801384,1636,3580.224652
-1.952104,1691,3643.864153
-1.8295724,1635,3705.263941
-1.7615825,1637,3767.190428
-1.9636285,1772,3833.787233
-1.8215145,1679,3897.405749
-1.9351513,1597,3958.025983
-1.2914486,1561,4017.233028
-1.8949732,1557,4077.031734
-1.8659357,1581,4136.63655
-1.6530823,1527,4194.49137
-1.1281769,1528,4252.387168
-1.6121954,1632,4313.783958
-1.7518245,1591,4374.80696
-0.38317615,1556,4433.748159
-1.2506056,1610,4494.63424
-1.579075,1726,4559.626968
-1.7709241,1672,4622.780748
-1.9475572,1691,4686.470223
-2.1293983,1673,4749.643992
-1.6108229,1650,4812.101174
-1.7985566,1541,4870.935433
-1.6875094,1571,4930.507268
-1.268389,1588,4990.915625
-1.8077099,1474,5048.232753
-1.4007719,1648,5110.846844
-1.486556,1555,5169.688098
-1.3041627,1618,5230.81904
-1.2710932,1664,5293.792925
-1.5273212,1682,5357.680285
-1.4876839,1691,5421.896458
-1.3675588,1629,5483.473144
-2.0331795,1642,5545.73244
-1.3083556,1591,5606.439624
-1.919758,1695,5676.824357
-1.7646624,1690,5750.791939
-1.3566302,1728,5825.72597
-1.7579578,1608,5896.045635
-0.7687916,1606,5966.799057
-1.6606976,1603,6037.198684
-1.4870174,1611,6107.153565
-1.6673665,1676,6181.017205
