#{"t_start": 1631185778.155808, "env_id": null}
r,l,t
-2.9629066,1186,36.124264
-1.8557758,1402,81.986962
-2.047233,1653,135.515262
-1.5978001,1667,189.452329
-2.004086,1913,251.015024
-1.592508,2097,318.429362
-1.9113364,2302,392.435922
-2.040536,2336,467.350956
-2.3428414,2286,542.376928
-2.4395704,2142,611.392349
-2.2533407,2020,676.149212
-1.550013,2048,741.806557
-2.5730479,2049,807.760733
-1.2797173,2026,873.001317
-1.9526497,2167,942.888239
-2.1385434,2174,1012.927069
-1.8567926,2059,1079.159086
-2.2828825,2100,1146.815285
-1.7316443,2098,1214.376539
-1.9252251,2088,1281.476058
-1.9104694,2111,1350.387538
-1.9472826,2170,1420.452355
-1.9667833,2168,1490.326284
-2.2373397,2130,1559.01489
-2.0950994,2133,1627.743474
-2.0973516,2067,1694.312297
-2.207931,2009,1759.346109
-2.20984,2172,1829.990594
-2.3971672,2086,1897.102105
-2.3282893,2128,1965.340972
-2.7248507,2075,2031.796861
-2.2545576,2059,2097.983902
-2.2708423,2084,2164.693643
-2.2273927,2039,2230.297019
-1.6871257,2003,2294.563164
-1.8772558,2035,2360.249494
-2.0926032,2110,2428.309813
-1.6963121,2092,2496.025979
-1.5871508,2011,2561.157691
-2.21406,2075,2628.009354
-2.3185275,2053,2694.206098
-1.6273369,2134,2763.089129
-1.3533719,2156,2832.902091
-1.0666816,2207,2903.924894
-1.944144,2137,2972.968298
-2.279343,2166,3042.892196
-2.0117981,2147,3113.22586
-1.6363019,2198,3184.254125
-1.9693649,2165,3253.982136
-2.0550482,2266,3326.702431
