#{"t_start": 1631254076.1177163, "env_id": null}
r,l,t
-1.5761712,1269,44.870266
-2.2821977,1267,93.263512
-1.9222053,1381,145.534536
-2.5015106,1319,196.092541
-2.1127188,1329,245.122423
-1.4598507,1356,290.134609
-2.0449195,1360,335.043852
-1.745719,1354,386.167534
-2.6571548,1374,450.841444
-1.612884,1356,518.585592
-2.1837907,1313,581.775356
-2.192188,1298,651.875151
-1.7923844,1290,718.5729
-1.192306,1263,792.601445
-1.6412474,1308,862.020633
-1.7217765,1486,942.440022
-1.8375558,1387,1016.759421
-1.708452,1394,1090.076374
-1.9228984,1605,1171.009958
-1.502986,1601,1251.131009
-1.570718,1596,1331.597861
-1.814273,1864,1414.394378
-1.9607891,1647,1485.068847
-1.8860741,1697,1557.79114
-1.6443999,1691,1630.553412
-1.7706131,1696,1702.820966
-1.602078,1636,1772.801832
-1.4954984,1857,1851.627626
-1.702295,1852,1930.394455
-1.5608946,1957,2013.69468
-1.7149357,2156,2105.242181
-1.6077255,2230,2199.740985
-1.6208376,2038,2286.608166
-1.5508713,2092,2376.058867
-1.6239064,2115,2466.04526
-1.4912499,2191,2559.224822
-1.4856424,2415,2662.68149
-1.4424709,2521,2769.557197
-1.3755628,2469,2874.238163
-1.4969238,2503,2980.602163
-1.3756311,2453,3085.484015
-1.4381033,2652,3199.188803
-1.3851118,2691,3307.339779
-1.4558647,2872,3411.954783
-1.2763202,2919,3503.333378
-1.1827577,2911,3594.526079
-1.5128924,2927,3689.657521
-1.2598025,2981,3797.17586
-1.3998209,3198,3920.30125
-1.363315,3289,4048.640646
-1.4486623,3162,4185.466178
-1.4237065,3344,4327.969452
-1.517663,3324,4469.320387
-1.3748332,3324,4610.179605
-1.3093102,3412,4754.588786
-1.3335675,3435,4896.30951
-1.2706144,3434,5023.578523
-1.2965319,3451,5144.090409
-1.2652675,3452,5253.584615
-1.4115437,3492,5364.536984
-1.3240513,3457,5474.56888
-1.2950937,3476,5585.164454
-1.3757313,3475,5695.02345
-1.3732893,3464,5804.68456
-1.27878,3451,5914.508577
-1.3797034,3447,6023.7979
-1.3003367,3462,6133.610921
-1.4308671,3449,6242.733341
-1.4239136,3462,6352.560356
-1.3620614,3431,6461.021153
-1.3106139,3438,6570.16556
-1.3332924,3445,6679.243004
-1.2955415,3479,6790.136407
-1.3181936,3453,6899.382754
-1.2958146,3432,7008.497177
-1.334702,3436,7117.452691
-1.3312843,3446,7226.71603
-1.4399167,3444,7336.244217
-1.3237743,3442,7445.539536
-1.4127789,3449,7554.777887
-1.2967929,3440,7663.631459
-1.3106036,3447,7772.533005
-1.344167,3439,7881.212678
-1.1849942,3436,7990.140208
-1.4222246,3447,8098.57602
-1.3797444,3445,8206.944871
-1.4174055,3436,8314.808013
-1.4134097,3413,8422.55422
-1.3024861,3425,8531.156936
-1.4062958,3423,8640.084467
-1.3571492,3416,8748.072536
-1.3507907,3432,8856.795184
-1.3522083,3420,8964.646332
-1.3054667,3442,9073.714781
-1.3167621,3432,9182.300509
-1.3438239,3422,9290.834266
-1.3322699,3421,9399.341035
-1.3572589,3419,9507.970738
-1.4000428,3428,9617.011205
-1.411155,3442,9725.94273
