#{"t_start": 1631249374.189273, "env_id": null}
r,l,t
-1.8337297,1550,55.112378
-2.074039,1569,114.107543
-1.7495184,1412,167.845724
-1.5317667,1346,218.641593
-1.4445801,1225,264.806118
-1.8540485,1153,308.800887
-0.8093932,1214,354.724551
-1.697994,1233,401.343814
-2.3205395,1222,447.29946
-0.6023241,1212,493.290084
-0.65559167,1242,540.068256
-1.3641436,1296,589.270039
-2.1358998,1297,640.179842
-0.6107333,1236,687.005987
-1.7173684,1248,734.129962
-2.07645,1245,781.251937
-2.4785182,1257,828.826655
-1.885925,1193,874.007742
-1.8167843,1233,920.710958
-1.6462425,1244,967.929878
-1.3029844,1279,1016.450053
-2.3359282,1242,1063.56903
-2.4620068,1271,1111.901312
-1.813319,1196,1159.08925
-2.0442786,1277,1208.042176
-1.845932,1244,1254.919291
-1.0584035,1248,1302.214168
-1.8348573,1279,1350.592422
-1.9914643,1268,1398.650862
-1.7192942,1247,1445.989712
-2.375844,1228,1492.444072
-1.9346095,1296,1542.007647
-1.8063613,1251,1589.64033
-1.6176535,1273,1637.790716
-1.8345102,1337,1687.995923
-2.027984,1231,1734.906021
-2.2476099,1292,1784.059832
-2.5201623,1332,1836.076999
-1.6007452,1209,1881.617882
-1.1434417,1214,1927.541545
-1.6597705,1173,1971.941081
-2.0718386,1247,2018.881161
-0.6192194,1165,2062.915908
-2.0872922,1156,2106.577868
-1.5872344,1225,2153.019234
-1.2039781,1173,2197.422768
-2.143974,1188,2242.21608
-1.2756612,1202,2288.465556
-1.6376138,1206,2334.140361
-1.57824,1173,2378.480932
-2.0536292,1208,2424.490546
-1.6572391,1163,2470.18634
-1.8877964,1200,2515.727222
-1.6945312,1186,2560.660452
-1.7729132,1224,2606.941911
-1.8906379,1199,2652.421829
-1.6877321,1194,2697.512969
-1.8659927,1191,2743.55956
-1.5953573,1197,2788.8266
-1.5296197,1226,2835.467851
-1.4764825,1226,2881.572411
-1.2668513,1185,2926.768491
-1.6527561,1239,2973.6586
-2.3885925,1179,3018.569844
-2.0263567,1222,3065.004214
-1.4386531,1250,3112.305087
-1.4903009,1242,3159.167212
-1.6696423,1195,3204.134423
-2.0723763,1212,3250.105058
-1.8042943,1274,3298.611241
-1.481868,1161,3342.350156
-2.4412348,1255,3390.083781
-1.8543875,1168,3434.490314
-1.815183,1194,3479.429543
-1.1674403,1189,3524.626621
-1.8422146,1143,3568.100689
-1.1766613,1167,3612.677125
-2.3548594,1265,3660.637619
-1.3714216,1232,3707.29686
-1.7408501,1158,3751.141716
-2.1972275,1213,3796.865493
-2.6724827,1234,3843.37582
0.013971982,1223,3889.415416
-1.6305733,1290,3938.012546
-2.3030744,1269,3985.83712
-1.7083144,1325,4036.168254
-2.5807512,1347,4086.725259
-2.6655087,1255,4134.346949
-1.8667899,1207,4179.814875
-2.0617292,1196,4224.444278
-1.7648667,1253,4272.565681
-1.5033989,1264,4320.424234
-2.496241,1262,4367.863028
-1.8180454,1234,4414.501281
-1.7205378,1235,4461.340419
-2.2501104,1284,4510.204395
-2.5975714,1277,4558.957436
-1.9737005,1253,4606.316277
-2.3532765,1207,4652.576745
-2.0435362,1268,4700.529244
