#{"t_start": 1631236627.2521274, "env_id": null}
r,l,t
-2.0778263,1844,58.882344
-1.3264292,2979,153.319185
-2.543858,2764,239.832571
-2.2124698,3154,338.081226
-0.74527127,2736,423.988958
-1.8857238,2535,505.194385
-0.89118487,2860,594.74403
-0.015423656,2390,669.490163
-1.7913996,2057,735.051564
-3.0006962,2026,798.294293
-1.7724327,2591,879.141928
-0.69479626,2810,966.771672
-1.8330587,2710,1051.589029
0.31871292,2416,1126.930821
-0.5322644,2445,1203.229064
-0.62986064,2280,1274.451219
-1.7606512,2214,1344.098275
-1.410548,2281,1415.558295
-2.020292,2290,1487.089272
-1.3375592,2299,1558.763166
-1.784746,2255,1629.359681
-0.38525274,2382,1705.409065
-1.7872103,2402,1780.440035
-1.7734098,2385,1854.865355
-0.8550318,2294,1926.824086
-0.030288123,2234,1996.831936
1.7096682,2316,2069.374334
-2.0588748,2083,2134.809805
-1.4695477,2115,2201.216722
-0.13164514,2120,2267.56667
-1.2732729,2157,2335.090945
-0.4876524,2073,2400.553402
-0.7818129,2019,2464.402785
-1.5104951,2031,2529.401509
-1.628706,2085,2594.942922
-1.050759,2071,2660.29744
-1.6568414,2123,2726.821288
-1.2656635,2178,2795.140108
-1.0869453,2138,2862.777318
-0.57693934,2173,2930.810303
-0.6858834,2113,2997.258194
-1.2037696,2049,3061.470369
-1.4190505,2172,3129.937103
-1.5202982,2014,3193.767499
-1.1656736,1986,3256.705403
-1.2506616,2019,3320.590763
-0.25250745,1981,3383.225843
-1.4431162,1998,3446.315661
-1.6277857,1925,3507.266705
-1.2635044,1984,3569.861808
-1.0273818,1933,3630.888809
-0.4030762,1895,3690.694511
-0.035350565,1941,3752.065315
-1.614854,1775,3808.136158
-1.3329152,1805,3865.171448
-1.3908012,1767,3920.926473
-1.3818548,1888,3980.454334
-1.2890947,1689,4033.774754
-1.2106766,1919,4094.838734
-2.2766266,1801,4152.061917
-1.5523173,1877,4211.374902
-1.3046142,1859,4269.916329
-1.6872927,1847,4328.498731
-2.1642706,1897,4389.697636
-1.97063,1951,4451.439226
-2.1262023,1926,4512.228365
-1.723411,1925,4572.939546
-1.6113908,1991,4636.147297
-0.9932264,1983,4699.961699
-1.2968336,1963,4762.510828
-1.8869357,1960,4824.344365
-0.3992717,1895,4884.18005
-0.19150272,1939,4945.408936
-1.364396,1741,5000.415391
-1.5928142,2017,5064.051894
-2.0191517,1808,5121.49795
-1.4283354,1903,5181.788373
-0.936292,1900,5241.724999
-1.2461973,1935,5302.697034
0.53479487,1930,5363.930914
0.48434022,1964,5425.932357
-1.7492412,1780,5482.118136
-2.1059666,1877,5541.842884
-1.2709278,1885,5601.627596
-2.0987437,1800,5658.979705
-1.7503173,1881,5719.317103
-1.6496235,1957,5781.087676
-1.3167919,1892,5841.021305
-0.6300439,1925,5902.458071
0.010298377,1914,5963.158259
-1.1736044,1901,6023.497656
-1.7941031,1875,6082.872604
-0.75226194,1855,6141.907748
1.1489242,1937,6203.597368
-1.8384025,1934,6264.695328
-0.49158034,1864,6323.335699
-0.9699657,1734,6378.264199
-0.27488092,1875,6437.553196
-0.6281634,1926,6498.254384
-0.698217,1955,6560.193864
