#{"t_start": 1631189105.930624, "env_id": null}
r,l,t
-1.6865323,2528,79.224565
-0.3125561,3067,179.700975
-1.0332158,3086,279.181923
-2.5794191,2983,375.862477
-1.9149426,3068,474.871697
-2.8892713,2958,570.159049
-1.9709197,2897,663.361598
-1.9096125,2897,756.628109
-2.848814,2910,850.766121
-2.4978862,2894,944.147568
-1.0502566,2822,1035.185359
-2.3895142,2649,1120.696316
-0.5871445,2673,1206.952851
-2.0490098,2502,1288.235234
-2.4014852,2616,1377.212207
-2.260503,2705,1478.550092
-1.7262057,2622,1577.861136
-2.8169749,2674,1678.14762
-0.7074958,2504,1770.570616
-2.0312977,2333,1845.973373
-2.1984167,2369,1923.045175
-1.4922689,2389,2001.376491
-1.3140725,2306,2076.564374
-1.4716222,2275,2159.070057
-3.0001464,2361,2248.693656
-1.6208565,2255,2334.103674
-1.7230767,2364,2423.405463
-1.8139253,2418,2509.15928
-2.8371277,2342,2585.702383
-0.9497707,2384,2663.776608
-1.9249897,2409,2742.459485
-2.3930664,2338,2818.397932
-2.432613,2355,2895.190892
-1.1298026,2254,2968.590798
-1.4263022,2057,3035.928179
1.4048234,2028,3102.601943
-0.029077413,1796,3161.932918
-1.8807489,2032,3229.370242
-1.695576,1890,3293.270595
-1.468391,1929,3356.961068
-0.7707033,1897,3420.318733
-1.4826148,2041,3487.683099
-1.083403,2185,3560.343429
-1.313027,2421,3639.449063
-0.99681,2142,3709.853685
-1.6058618,2631,3796.260133
-1.464188,2662,3882.835481
-1.5840657,2438,3962.215958
-1.8969101,2388,4040.212226
-1.6920646,2476,4120.931933
