#{"t_start": 1631193227.9819157, "env_id": null}
r,l,t
-2.2553537,2160,67.93604
2.221647,2976,164.572618
-0.042088516,3539,277.317959
0.3843159,3539,390.328147
-1.5305172,3527,503.565207
1.1860479,3490,615.423057
0.8564206,3476,727.037046
-1.3566395,3478,838.906889
-1.9094497,3491,951.21748
2.2747018,3525,1064.708393
-1.312044,3536,1179.261696
-2.3186352,3539,1293.471198
0.3371452,3530,1407.078045
-2.1703103,3532,1521.13963
2.5999248,3531,1635.151246
0.6759496,3544,1749.438703
0.0,3548,1862.739724
0.0,3547,1975.933808
0.0,3542,2089.416725
-0.1671383,3547,2204.091959
-2.418402,3532,2318.842153
-0.98242784,3530,2433.547415
0.0,3531,2547.075309
0.0,3531,2660.726131
0.0,3536,2774.762731
0.0,3538,2889.56789
0.0,3543,3004.160171
0.0,3536,3118.810422
0.0,3531,3233.831455
1.2583091,3536,3350.992266
-3.0000596,2569,3434.949121
0.0,3538,3550.250991
-2.153245,3533,3675.947323
0.0,3533,3876.086546
-2.7597532,3529,4031.655407
0.0,3531,4176.937721
0.0,3538,4308.319374
