#{"t_start": 1631272736.2569184, "env_id": null}
r,l,t
-1.6818244,2788,97.147286
-1.2880033,2204,177.173392
-1.570532,1744,242.035194
-1.561853,1798,307.777489
-1.5182978,1883,377.214668
-1.837622,1860,444.893853
-1.6089501,1922,515.099592
-1.7222165,1889,583.930116
-1.3997706,1948,654.628572
-1.554581,1732,717.572474
-1.5942236,1748,782.000524
-1.3634225,1740,845.875893
-1.4276555,1722,909.246552
-1.6460137,1672,970.781258
-1.2566714,1720,1033.748147
-1.646436,1678,1095.479744
-1.618583,1748,1159.318133
-1.4739821,1836,1226.064855
-1.5043848,1729,1290.237054
-1.6928042,1759,1353.978496
-1.9294119,1803,1418.602435
-1.9185336,1820,1483.810038
-1.4932522,1805,1549.63229
-1.8580654,1740,1612.812058
-1.6460732,1923,1680.720111
-1.3407148,1932,1743.572065
-1.5069227,1911,1805.822365
-1.5243839,1909,1868.301533
-1.3485758,1992,1933.235294
-1.5936337,1930,1996.10624
-1.4616152,2057,2062.981884
-1.4779017,1935,2125.821846
-1.5985909,2094,2193.593979
-1.1613777,2034,2259.779023
-1.407978,2146,2329.500037
-1.5035728,2220,2401.718621
-1.5605432,2197,2480.351526
-1.2342631,2190,2558.376778
-1.3228128,2354,2643.451988
-1.5936744,2393,2728.573172
-1.214409,2288,2810.025459
-1.3418643,2372,2894.480024
-1.4550887,2422,2980.711571
-1.4086708,2453,3068.28135
-1.1636193,2526,3158.618542
-1.3720521,2531,3255.58893
-1.5422256,2596,3350.174684
-1.2288569,2515,3452.318105
-1.2983097,2575,3554.94325
-1.2848947,2682,3662.578522
-1.3765407,2772,3774.076578
-1.3494071,2800,3887.047789
-1.3878237,2684,3997.914208
-1.4229666,2650,4106.163127
-1.3125287,2725,4215.946169
-1.3342279,2718,4326.641684
-1.3844587,2699,4437.152306
-1.2462682,2874,4553.210753
-1.5504435,2822,4667.491207
-1.334281,2808,4780.718271
-1.4428372,2919,4898.87351
-1.414635,2842,5013.720646
-1.3823655,2763,5125.570504
-1.3050362,2768,5237.177495
-1.3551409,2748,5347.654136
-1.2988591,2802,5460.491424
-1.2464797,2833,5574.497043
-1.3111683,2802,5687.54721
-1.4228905,2812,5801.273987
-1.3970448,2917,5919.340276
-1.3463129,2901,6036.598029
-1.307241,2880,6153.285109
-1.2497647,2809,6267.948352
-1.4502184,2884,6384.979235
-1.4024757,2836,6499.54553
-1.4939889,2880,6616.627383
-1.5200005,2796,6730.4601
-1.4020686,2827,6845.805951
-1.4065241,2818,6960.38724
-1.2871631,2885,7077.055331
-1.3077747,2812,7191.315804
-1.3871362,2889,7313.099959
-1.2053503,2873,7460.353502
-1.4595544,2809,7604.535241
-1.3339136,2783,7745.980968
-1.4842006,2806,7885.268445
-1.4285909,2761,8026.795004
-1.286798,2701,8153.199374
-1.4608437,2734,8290.006614
-1.2890898,2727,8424.133716
-1.3340057,2811,8561.951818
-1.4053466,2709,8694.47266
-1.3720967,2787,8831.138944
-1.269354,2801,8953.0416
-1.3457984,2800,9067.345048
-1.411375,2693,9178.218462
-1.3786851,2775,9293.46337
-1.4750842,2754,9406.182725
-1.3797039,2750,9518.290431
-1.2899985,2822,9633.622289
