#{"t_start": 1631349879.5217319, "env_id": null}
r,l,t
-1.4737803,88,0.457728
-1.2130882,61,2.490836
-1.2538328,66,5.060716
-1.1712427,69,7.864747
-1.1693829,70,10.691576
-1.5824282,65,13.283918
-1.3041148,62,15.738266
-1.2971219,68,18.576942
-1.449359,62,21.164019
-1.390049,64,23.895344
-1.4196787,68,26.831711
-1.3688831,69,29.766598
-1.231318,68,32.516097
-1.1642796,69,35.224331
-1.0650388,69,38.055714
-0.9603997,70,40.951949
-1.462271,69,43.780996
-1.344374,61,46.248588
-1.2293482,62,48.668657
-1.2655188,66,51.3939
-1.2365297,65,54.028267
-1.3311756,69,56.910573
-1.193905,62,59.386435
-1.184954,61,61.781603
-1.0324764,60,64.134809
-1.2519939,61,66.529994
-1.12239,60,68.856257
-1.0825946,62,71.697136
-1.1360657,61,74.5592
-1.0543981,59,77.053769
-1.1253664,59,79.301835
-1.2288982,64,81.843913
-1.1407101,63,84.303061
-1.11333,61,86.681552
-1.0623212,62,89.146887
-1.0770017,59,91.480298
-1.2531025,60,93.780627
-1.0064846,61,96.165822
-1.1432825,57,98.38859
-1.1924225,61,100.712801
-1.1901478,58,102.927854
-1.1051203,58,105.200481
-1.1958625,59,107.601908
-1.1323068,60,109.878841
-1.1993349,61,112.211568
-1.1196271,59,114.697694
-1.1092949,59,117.778868
-1.1518774,57,120.542927
-1.1313804,56,123.308903
-1.1476018,57,125.929603
-1.1989311,56,128.494562
-1.1637064,57,131.038672
-1.3466947,58,133.659802
-1.2023478,55,136.157168
-1.1995863,55,138.946602
-1.2559923,56,141.699023
-1.2352386,56,144.453443
-1.2152035,56,146.973997
-1.2880315,57,149.54181
-1.2358283,58,152.146902
-1.1200023,58,154.68325
-1.092057,56,157.200288
-1.1782207,55,159.601758
-0.94846445,58,162.204102
-1.0993713,58,164.760248
-1.2197071,56,167.300036
-1.2346858,57,169.868998
-1.1775321,58,172.480344
-1.2699217,55,174.898277
-1.2164798,59,177.66634
-1.2723709,58,180.271523
-1.1614912,56,182.829548
-0.9989343,57,185.334862
-1.1017444,57,187.96945
-1.1494819,59,190.612493
-1.1449604,56,193.19011
-1.1743928,56,195.636678
-1.1555727,57,198.279146
-1.1508446,60,200.905176
-1.1708304,56,203.442333
-1.1740521,56,205.91209
-1.4655286,58,208.599901
-1.2162052,57,211.091727
-1.1194893,56,213.623848
-1.1360868,58,216.189194
-1.2076659,56,218.724595
-1.1747006,57,221.248315
-1.0872803,57,223.980939
-1.2062438,55,226.395807
-1.1228236,56,229.076187
-1.1753299,58,231.748247
-1.1219071,57,234.351029
-1.114676,57,236.922949
-1.1262733,59,239.586749
-1.0849208,57,242.234817
-0.515653,54,244.651217
-1.2042582,56,247.461018
-1.1738309,56,250.153366
-1.1931229,57,252.832732
-1.1335762,57,255.468778
-1.1020888,56,258.119153
-1.1543037,56,260.618796
-1.1292046,57,263.26866
-1.1565421,56,265.857253
-1.1485099,57,268.592694
-1.1074408,57,271.123919
-1.1685206,56,273.735227
-1.265585,55,276.243803
-1.2105782,55,278.754697
-1.204548,56,281.252502
-1.2638855,53,283.710925
-1.2677174,58,286.342166
-1.2578223,57,289.063957
-1.1867477,55,291.519394
-1.2663709,56,294.148057
-1.116254,55,296.590089
-1.2079829,57,299.245261
-1.2113222,56,301.76507
-1.0287483,57,304.4062
-1.2496059,54,306.775921
-1.1792516,55,309.367003
-1.1850677,55,311.856576
-1.1793355,56,314.417904
-1.197159,56,316.970153
-1.271439,57,319.527659
-1.1927197,56,322.092663
-1.1710488,56,324.61507
-1.2081059,54,327.117656
-1.224812,56,329.569759
-1.2155155,56,332.089689
-1.2150991,56,334.554539
-1.175867,56,337.245393
-1.206341,56,339.697674
-0.98750937,56,342.219559
-1.1500124,56,344.667289
-1.2498887,56,347.278954
-1.1874223,57,349.83985
-1.2540327,55,352.325933
-1.1572456,56,354.791775
-1.2524221,57,357.396383
-1.198427,56,360.082005
-1.1604619,56,363.240729
-1.1676627,57,366.130549
-1.189191,56,368.963141
-1.225789,56,371.411827
-1.1544651,56,373.959602
-1.1826463,56,376.434894
-1.1982273,56,378.953658
-1.1953619,56,381.391597
-1.1798989,57,383.969649
-1.1876727,56,386.43102
-1.2316706,56,389.003832
-1.2009202,56,391.448581
-1.1961905,57,394.030851
-1.2250754,56,396.545955
-1.1098906,56,399.05391
-1.192368,57,401.530984
-1.1999526,57,404.086738
-1.4514337,54,406.42713
-1.0638571,55,408.949934
-1.1772127,56,411.40465
-1.1269413,58,414.001047
-1.1359619,57,416.528153
-1.1915466,57,419.044786
-1.1970834,56,421.557648
-1.1589037,56,424.081816
-1.1304705,57,426.616378
-1.192901,57,429.353417
-1.1768719,56,431.887872
-1.211825,56,434.47583
-1.5088226,59,437.177511
-1.1643666,56,439.652616
-1.1955283,56,442.248633
-1.1996194,56,444.733662
-1.2319268,55,447.213313
-1.1839422,56,449.799514
-1.3128625,55,452.269393
-1.1551757,56,454.729387
-1.1562321,57,457.346506
-1.2756504,55,459.785576
-1.2136245,56,462.353433
-1.18134,56,464.882998
