#{"t_start": 1631347926.5084612, "env_id": null}
r,l,t
-1.3719049,88,0.330793
-3.0217252,34,0.995409
-1.6921991,75,3.201146
-1.6459897,72,5.3709
-2.2771358,71,7.487686
-1.6300066,75,9.754386
-1.7482718,77,12.04807
-2.2777967,81,14.450693
-1.5053623,81,16.857314
-1.527664,83,19.309906
-1.3482679,78,21.663556
-1.1679579,74,23.868294
-1.0180438,76,26.127997
-1.0827647,74,28.336729
-1.1428452,74,30.585461
-1.0137107,75,32.865132
-1.1884017,81,35.284765
-0.78674203,80,37.670376
-0.9702067,82,40.128969
-1.0295385,79,42.518617
-1.0350858,78,44.841264
-1.0411218,70,46.936064
-1.1591632,77,49.274742
-1.1243718,73,51.460469
-1.3352968,72,53.649214
-0.8668212,76,55.969882
-1.2400835,73,58.200603
-1.04425,72,60.383351
-1.225964,71,62.521125
-0.73858,69,64.597936
-0.74652463,72,66.78668
-1.1793786,75,69.111345
-1.313628,74,71.359056
-1.2167598,77,73.695737
-1.226267,74,75.910447
-1.0933307,71,78.070207
-1.0630581,74,80.343904
-0.9418563,72,82.54764
-1.1074613,74,84.752375
-1.2189163,72,86.90614
-0.99899584,72,89.066901
-1.1902689,71,91.201678
-1.0150099,71,93.343449
-1.2048192,67,95.368308
-0.9972206,72,97.57802
-1.08967,74,99.789752
-1.0812298,74,101.993488
-1.0243988,69,104.0653
-1.3428367,75,106.316008
-1.2621965,73,108.542733
-1.262428,70,110.702494
-1.1335322,73,112.90323
-1.201418,73,115.113963
-1.3050889,71,117.276722
-1.4175446,73,119.454473
-1.3715265,68,121.515292
-1.3257746,67,123.543129
-1.4357111,69,125.623937
-1.4756947,66,127.601802
-1.3339415,67,129.589662
-1.2734147,67,131.66647
-1.3727007,66,133.644339
-1.2671133,65,135.630197
-1.3641716,65,137.586076
-1.4032207,68,139.620929
-1.2853336,68,141.674731
-1.2359384,68,143.710563
-1.4325454,66,145.712416
-1.2824695,66,147.702274
-1.6692153,64,149.631167
-1.1727442,67,151.659004
-1.5374666,62,153.525934
-1.5725895,65,155.498802
-1.501024,67,157.516646
-1.2643312,69,159.586458
-1.706535,63,161.498361
-1.4241971,62,163.368289
-1.642197,66,165.336161
-1.6045704,66,167.360999
-1.2994189,65,169.338866
-1.1096221,67,171.337719
-1.6219935,67,173.37855
-1.6337963,65,175.367409
-1.2983298,64,177.317289
-1.5344517,66,179.277165
-1.2992483,68,181.36097
-1.465966,68,183.4048
-1.1458119,66,185.397656
-1.4985898,65,187.332547
-1.436467,65,189.308414
-1.3331261,65,191.249299
-1.5363512,62,193.091244
-1.547585,61,194.933186
-1.53251,64,196.877073
-1.1811919,65,198.845944
-1.3088979,65,200.818811
-1.3811861,65,202.785683
-1.4052114,68,204.849499
-1.2710785,65,206.834361
-1.3859156,66,208.832217
-1.4978945,66,210.805085
-1.0707736,60,212.594059
-1.59059,67,214.609902
-1.4657633,64,216.567779
-1.518487,65,218.552641
-1.2775546,60,220.396585
-1.3139191,63,222.331474
-1.4738443,63,224.250375
-1.4314078,64,226.208254
-1.5156205,64,228.142141
-1.5828283,65,230.116011
-1.5742382,67,232.162836
-1.6613184,64,234.077737
-1.4967788,64,235.99264
-1.7493262,63,237.89355
-1.3440157,66,239.870416
-1.5841649,63,241.787316
-1.5208492,62,243.650251
-1.8320564,65,245.613122
-1.8588495,64,247.556009
-1.686297,66,249.523879
-1.6215248,63,251.440801
-1.3687646,63,253.315705
-1.8320647,59,255.112695
-1.7071971,63,257.018581
-2.0328844,62,258.887511
-1.7144032,67,260.898356
-1.5199796,62,262.768284
-1.7071656,65,264.743151
-1.7729995,66,266.73301
-1.7177243,68,268.781835
-1.7286891,63,270.672751
-1.3607858,59,272.460728
-1.6482414,63,274.368634
-1.5939531,64,276.295526
-1.6569684,62,278.199434
-1.6787797,62,280.052372
-1.4712384,63,281.965274
-1.6310523,62,283.816213
-1.763182,62,285.676147
-1.7349923,59,287.442133
-1.6172094,64,289.362053
-1.7065719,59,291.151006
-1.4710419,62,293.040922
-1.4954276,64,294.994803
-1.353132,66,296.974667
-1.3973843,63,298.884571
-1.4086357,61,300.73451
-1.6564921,62,302.609436
-1.3768104,65,304.601293
-1.889862,58,306.366282
-1.4177772,62,308.245203
-1.2481631,61,310.072155
-1.742105,63,311.960072
-1.8324997,61,313.770036
-1.2606226,57,315.478058
-1.9013684,59,317.21306
-1.5446969,61,319.029018
-1.5339235,62,320.879958
-1.7149022,59,322.647943
-1.676656,64,324.594828
-1.6689321,59,326.337847
-1.4480724,58,328.059839
-1.7834247,58,329.789848
-1.6463363,59,331.554856
-1.727297,59,333.310829
-1.7131463,58,335.035839
-1.7622049,65,336.988719
-1.9028316,59,338.78169
-1.4188141,58,340.552675
-1.8539236,62,342.403634
