#{"t_start": 1631354988.8714797, "env_id": null}
r,l,t
-1.2414916,56,598.134578
-0.9655712,61,600.935553
-0.8650684,59,603.674853
-0.9364682,58,606.282703
-1.0476046,58,608.94325
-1.1150718,60,611.691297
-0.93953615,59,614.369242
-0.9325179,59,617.116694
-1.1004194,59,619.837728
-1.0606922,60,622.551761
-1.0286365,60,625.293914
-1.1735682,61,628.189207
-1.1204965,60,630.949668
-0.9530132,60,633.637455
-0.91787434,56,636.130455
-1.0806607,57,638.834225
-0.96350795,60,641.56059
-1.0625582,59,644.362831
-1.0601019,58,647.072205
-1.0262241,60,649.738241
-1.0789064,61,652.503217
-1.1136615,60,655.25926
-1.0230062,60,657.964384
-1.0058423,60,660.769734
-1.0780779,57,663.708118
-0.8989679,58,666.451817
-0.85190433,59,669.097357
-1.002455,61,671.883657
-1.228462,60,674.619131
-1.0751271,59,677.42487
-1.0171276,61,680.218761
-0.91188794,59,682.867341
-0.9488266,59,685.520049
-0.8730932,59,688.226152
-0.97904104,60,690.997955
-1.0491183,62,693.838109
-1.047314,60,696.667553
-1.0288038,60,699.389627
-0.9285141,59,702.059654
-0.91492486,60,704.858617
-1.0523189,59,707.545155
-0.97099525,62,710.450432
-1.0400664,59,713.101904
-1.0540968,60,715.823408
-1.0203202,59,718.502724
-0.93871313,59,721.257157
-0.90993786,59,724.004002
-0.99845964,64,726.909287
-0.99980545,61,729.665267
-0.96623343,60,732.383131
-0.897696,59,735.05243
-1.0260042,59,737.79172
-1.039027,60,740.556059
-1.0223734,61,743.346036
-1.0921035,57,745.886106
-1.0174617,61,748.724975
-0.9348822,59,751.396204
-1.0114014,60,754.16059
-0.9907724,59,756.865224
-1.0392224,60,759.69501
-1.0376657,61,762.44235
-0.9501466,60,765.189982
-0.93648785,62,767.976464
-1.021502,61,770.876393
-1.0881276,60,773.658198
-1.0221473,60,776.405147
-0.9470766,62,779.220899
-1.0272148,60,781.997223
-1.0038404,60,784.688927
-0.91332364,59,787.36811
-1.0216374,61,790.208067
-1.0010475,62,793.027182
-1.0551394,60,795.836967
-0.9899003,61,798.561061
-1.0477214,63,801.378222
-0.8688693,60,804.1082
-1.0851299,61,806.898961
-1.0153068,61,809.827155
-1.0325484,61,812.592875
-1.0061375,61,815.359008
-0.9805523,61,818.092783
-0.99790454,63,821.104895
-1.003371,60,823.936906
-1.0589893,61,826.750011
-1.0159551,61,829.616758
-0.98638725,62,832.435975
-0.8821351,58,835.059032
-0.95753175,61,837.795129
-1.2947463,58,840.580321
-0.9862907,62,843.406261
-0.92674994,61,846.152897
-0.9864559,61,848.925762
-1.1014779,62,851.856317
-0.98264456,59,854.731227
-0.92615604,59,857.451117
-1.004127,60,860.265835
-0.95432705,61,863.01737
-0.90327716,59,865.668828
-0.9750909,64,868.579009
-1.0454543,65,871.572182
-1.0498815,64,874.546124
-1.0531008,64,877.464078
-0.9461099,62,880.290002
-0.8775191,60,883.086622
-0.9883662,61,885.92545
-1.0193626,61,888.728084
-0.96557564,61,891.562762
-0.9588426,63,894.430763
-1.0132941,63,897.254588
-0.99928975,62,900.173865
-0.9912122,63,903.002355
-1.0102189,63,906.214661
-1.0103229,60,909.574087
-1.0265453,64,913.019934
-1.0164458,63,916.166025
-1.2218621,59,918.855085
-0.9841084,62,921.703886
-0.9737473,63,924.62793
-0.9551417,64,927.583215
-1.0754567,64,930.501036
-0.98416346,61,933.255861
-1.0001472,61,935.992059
-0.9602057,65,938.999839
-1.0634351,64,941.960649
-1.0110282,63,944.845145
-1.0473982,58,947.453214
-0.8947025,61,950.216765
-1.0661728,60,952.919112
-0.98490953,61,955.803308
-0.9425705,63,958.732181
-0.95792305,61,961.466221
-0.9856283,61,964.301489
-1.0419972,62,967.100056
-1.002468,63,969.922495
-0.9930317,63,972.818147
-0.9728556,64,975.727541
-0.96808773,61,978.470032
-0.98995197,61,981.299991
-1.0245715,63,984.175081
-0.9794548,60,986.870132
-1.025466,61,989.658413
-0.8487698,62,992.471962
-1.0192988,61,995.24194
-0.99815196,61,998.089789
-0.99633837,62,1000.84849
-0.9681373,65,1003.858078
-0.9780484,62,1006.662179
-0.97414804,62,1009.580697
-0.997363,61,1012.417943
-0.9723257,64,1015.449971
-0.8876306,63,1018.422536
-0.994635,63,1021.557441
-0.869605,60,1024.468631
-0.98470575,62,1027.447708
-1.0009838,63,1030.4971
-1.0251943,63,1033.924203
-1.0127115,63,1037.124043
-0.8962053,61,1040.431577
-1.0017117,60,1043.903796
-0.9438486,61,1047.134699
-0.9725893,61,1050.312118
-0.9904109,58,1053.541744
-1.0009608,62,1056.52682
-0.9910795,62,1059.549087
-0.95503026,61,1062.53651
-0.9375305,59,1065.35287
-0.9481926,61,1068.323222
-0.92346996,63,1071.366305
-1.0140826,62,1074.619219
-0.99865997,63,1077.650491
-0.97637373,62,1080.617078
-0.9897072,62,1083.588331
-0.8489493,60,1086.409262
-0.97497845,62,1089.52577
-1.0257692,64,1092.661066
-1.0077678,62,1095.667
-1.0113167,61,1098.591901
-0.99651253,61,1101.438319
-1.0043108,62,1104.511249
-0.89315987,60,1107.428048
-0.99734545,62,1110.479093
-1.0024384,62,1113.530817
-0.98702055,62,1116.507049
-0.9543682,62,1119.488938
-0.8013986,61,1122.461527
-1.0100242,61,1125.444887
-1.0298448,64,1128.716066
-0.988661,62,1131.699527
-0.99168575,63,1134.672219
-0.8659949,65,1137.732908
-1.0458571,61,1140.672554
-0.92735994,61,1143.765931
-0.8556309,62,1146.800227
-0.9922066,62,1149.798813
-0.9967273,61,1152.775998
-1.0279866,61,1155.668668
-0.967434,63,1158.741994
-0.96931654,62,1161.78486
-1.0139157,63,1164.794886
-1.0155381,62,1167.723086
-0.9836866,62,1170.659894
-1.0418427,60,1173.662503
-1.0017948,61,1177.15154
-0.9618166,62,1180.821477
-0.9970504,62,1184.541081
-0.96525025,62,1188.032079
-1.0142832,62,1190.99438
-0.9982914,61,1193.971673
-0.94452304,63,1196.979808
-0.9823026,63,1200.067502
-1.0067402,61,1202.894508
-0.8165187,65,1206.008509
-0.9664335,61,1209.084476
-0.8944507,63,1212.301176
-1.0631714,60,1215.221572
-0.9214793,64,1218.314972
-1.0166564,63,1221.365766
-0.8757836,64,1224.474989
-0.93431604,61,1227.591297
-0.8625113,65,1230.750313
-0.9007226,63,1233.842587
-0.8721867,65,1236.985984
-0.86655337,64,1240.146685
-0.94586045,67,1243.397386
-0.7781975,60,1246.300323
-0.96013,61,1249.315294
-1.0890174,64,1252.353682
-0.9207075,65,1255.456404
-1.0092227,63,1258.697618
-0.93346196,68,1262.030118
-0.6976035,64,1265.113605
-1.0129628,64,1268.23937
-0.9282912,65,1271.406627
-0.68737924,62,1274.562354
-1.0169737,63,1277.672355
-0.8940918,67,1280.878218
-0.94605917,64,1283.939649
-0.883102,64,1287.063439
-0.9037052,66,1290.226711
-0.9155154,64,1293.380634
-0.96259475,66,1296.609729
-1.0483947,63,1299.735184
-0.8974458,63,1302.674166
-0.8605678,65,1305.82952
-0.87392145,64,1309.06479
-0.9705187,65,1312.266598
-0.8472315,66,1315.465885
-0.76236296,64,1318.534399
-0.92017925,64,1321.674811
-0.9576097,65,1324.792792
-0.9017044,65,1328.058363
-0.8216748,60,1330.920327
-0.8368421,63,1334.126036
-0.8713147,65,1337.256236
-0.9303116,65,1340.45049
-0.824625,66,1343.664405
-1.0043068,64,1346.758936
-0.7554018,65,1349.786143
-0.89355564,67,1352.865769
-0.90951943,65,1355.974721
-0.86073476,64,1358.927773
-0.93220097,66,1362.099804
-0.81612414,65,1365.218306
-0.86262065,65,1368.234119
-0.905637,66,1371.363141
-0.94705355,65,1374.371507
-0.83617437,65,1377.299538
-0.88412577,65,1380.382428
-0.90287256,67,1383.516785
-0.7256748,66,1386.615364
-0.85722774,65,1389.602393
-0.79286605,67,1392.661077
-0.8766786,65,1395.745454
-0.8992392,66,1398.877854
-0.9114838,64,1401.891455
-0.91151077,64,1404.820965
-0.90625423,66,1407.849162
-0.7979678,69,1411.075502
-0.8377095,66,1414.047452
-0.7318718,66,1417.094262
-0.8191455,67,1420.277264
-0.7772037,67,1423.410331
-0.85157615,66,1426.542615
-0.80604583,67,1429.600364
-1.0339122,69,1433.071094
-0.872165,66,1436.267186
-0.86475384,67,1439.476625
-0.84392923,65,1442.762153
-0.9089577,65,1446.021391
-0.8569487,66,1449.249109
-0.89730215,65,1452.709193
-0.9230837,67,1455.825577
-0.9799067,68,1459.011043
-0.6991549,64,1461.962118
-0.8950628,65,1464.921024
-0.8691616,65,1467.939292
-0.8803082,67,1471.054492
-0.85405785,65,1474.054207
-0.89010406,65,1477.106504
-0.87625337,65,1480.239509
-0.7060185,66,1483.247402
-0.8275525,66,1486.299989
-0.78015095,66,1489.318092
-0.7878196,67,1492.446115
-0.8218386,66,1495.811069
-0.8282892,67,1498.91734
-0.8124425,64,1501.831721
-0.97380066,62,1504.81149
-0.9416429,65,1507.793347
-0.7782036,66,1510.927287
-0.8789387,65,1514.323214
-0.85339355,68,1517.649641
-0.8450946,66,1520.756272
-0.8450569,65,1523.741874
-0.84608895,66,1526.892063
-0.8916627,64,1529.994554
-0.87644535,65,1532.989276
-0.81903,66,1536.019947
-0.8915321,64,1538.913438
-0.83533907,67,1542.17137
-0.8712357,67,1545.311884
-0.99190366,69,1548.429412
-0.8494236,66,1551.374807
-0.99941075,67,1554.449304
-1.1857622,67,1557.507746
-0.8196716,70,1560.84137
-0.8841821,65,1563.765692
-0.8711997,66,1566.760031
-0.8748465,67,1569.804379
-0.8948929,65,1572.763968
-1.0862037,67,1575.853983
-0.83941555,66,1578.90895
-0.84869975,65,1581.815967
-0.9814932,66,1584.801388
-0.8915321,65,1587.74628
-0.8715791,68,1590.854928
-0.9063671,65,1593.86229
-0.8523513,64,1596.793196
-0.90172553,67,1600.018991
-0.7956184,66,1603.002463
-0.85111797,65,1605.952565
-0.9005566,67,1609.043239
-0.8596224,66,1611.961147
-0.9020599,66,1615.433004
-1.074522,64,1618.553507
-0.87355804,68,1621.938209
-0.9421235,72,1625.569703
-0.89093125,67,1629.224151
-0.929752,66,1632.463296
-0.8080291,67,1635.781208
-1.0231204,65,1638.910961
-0.9453799,66,1642.109978
-0.92297435,65,1645.48913
-0.8471034,64,1648.543111
-0.8669189,66,1651.6349
-0.8554749,67,1654.840322
-0.8845748,64,1658.132973
-0.88534397,65,1661.333905
-0.9350686,66,1664.466347
-0.84609175,65,1667.641944
-0.9462571,66,1670.846133
-0.917214,67,1674.332361
-0.953451,66,1677.696902
-0.87516254,67,1681.043055
-1.0410498,65,1684.309011
-0.8879005,66,1687.456882
-0.79537416,68,1690.750799
-1.0200641,65,1693.943204
-0.8200619,67,1697.338874
-0.8644127,67,1700.617427
-0.884795,67,1703.87361
-0.87644,67,1707.113072
-0.7814823,68,1710.500466
-0.87569803,67,1713.74165
-1.0003432,66,1717.01808
-0.45559523,66,1720.084626
-0.7064974,69,1723.545972
-0.8745304,66,1726.698673
-0.83527756,67,1730.113806
-0.87528914,67,1733.488577
-0.8877999,66,1736.821814
-0.84073544,66,1739.971915
-0.8732048,67,1743.428906
-0.8530822,65,1746.61095
-0.8307556,66,1749.904756
-0.8544054,68,1753.385715
-0.8649214,66,1756.756161
-0.8330798,66,1760.010512
-0.95410246,65,1763.249182
-0.8318188,66,1766.629797
-0.8582445,70,1770.17077
-0.88753355,65,1773.568642
-0.8163519,69,1777.143364
-0.87250614,66,1780.435352
-0.99209553,64,1783.505511
-0.8368645,67,1786.6197
-0.7322424,67,1789.972856
-1.1883705,64,1793.212922
-0.73994327,69,1796.793878
