#{"t_start": 1631352172.2430418, "env_id": null}
r,l,t
-1.7008522,89,0.354782
-1.3838576,58,1.908889
-0.99196744,62,3.977723
-0.8434609,60,5.93358
-0.8993984,61,8.008391
-1.1530296,66,10.123178
-0.7607811,63,12.180997
-0.80260354,65,14.276795
-1.1455377,65,16.364599
-1.0616277,64,18.490398
-1.0192863,64,20.563191
-0.9316575,64,22.718956
-1.2000248,64,24.815752
-1.1608611,60,26.783624
-0.885967,62,28.875423
-0.87736833,61,30.862285
-0.87061083,62,32.967079
-0.89816254,61,35.0179
-0.8985122,61,37.029747
-0.8998524,62,39.113552
-0.89373654,61,41.086421
-0.6761463,61,43.16123
-0.32910183,63,45.195065
-1.003845,69,47.475756
-0.6762485,60,49.422639
-0.77794665,64,51.511441
-0.79838544,61,53.568262
-0.8854897,61,55.531136
-0.8886733,60,57.515999
-0.9226873,66,59.666765
-0.9085907,60,61.603653
-0.8826787,62,63.701453
-0.8786922,61,65.7103
-0.94791275,63,67.875057
-0.8864813,63,69.945871
-0.93197346,63,71.997692
-0.9196567,63,74.052515
-0.9734691,65,76.142316
-1.0909173,61,78.175152
-0.88402426,64,80.256956
-0.3808406,62,82.359751
-0.92228234,62,84.352609
-0.931525,62,86.371449
-0.67145675,63,88.484239
-0.8103165,63,90.50408
-0.29204342,62,92.563898
-0.7509706,63,94.584741
-1.1120117,61,96.543616
-1.4373131,64,98.949237
-1.2268586,62,101.654685
-1.8089619,67,104.860848
-1.4007117,62,107.734868
-1.3185039,61,110.561168
-1.2271647,61,113.316104
-1.5160427,62,116.21084
-1.536507,61,118.957507
-1.5352595,63,121.827793
-1.4172224,63,124.68351
-1.5829726,62,127.470918
-1.507826,63,130.388926
-1.6090688,63,133.241347
-1.5984762,61,136.134497
-0.91839087,61,138.873101
-0.93177927,62,141.748269
-1.0130599,62,144.522167
-1.0541099,63,147.418758
-1.0311136,63,150.359575
-0.76804703,61,153.107496
-1.0349565,63,156.059812
-0.9037285,60,158.832726
-0.90075773,61,161.733119
-0.8052298,62,164.53979
-0.8698517,62,167.393928
-0.8508073,62,170.211828
-0.957887,62,173.07418
-0.9773466,61,175.975313
-1.1094967,62,178.771883
-1.131181,62,181.633323
-1.0734563,59,184.418771
-1.0719775,60,187.217315
-1.4710442,61,190.131337
-1.4322097,63,192.932012
-0.6508392,61,195.813427
-0.89586544,61,198.491543
-0.56980646,61,201.292353
-1.1369123,57,203.895865
-1.100294,58,206.53568
-1.2071804,59,209.148057
-1.0349101,63,212.02374
-1.1738753,58,214.587884
-1.0037963,61,217.429208
-1.1333544,61,220.173994
-1.3466861,61,222.928755
-0.82950884,62,225.748683
-0.8584656,60,228.430726
-1.1102076,60,231.133336
-0.9606028,59,233.783144
-1.4698535,62,236.541293
-0.9930606,59,239.150367
-0.9539311,63,241.902601
-1.0706042,60,244.551131
-1.0168868,57,247.122698
-1.1581128,61,249.8607
-1.0607562,60,252.542213
-0.8775404,60,255.225569
-0.94525456,61,257.959437
-0.9279106,61,260.681953
-0.8737,62,263.46227
-1.470976,62,266.214436
-0.93036675,62,268.993592
-0.726192,62,271.749949
-1.211152,61,274.460556
-1.0775894,61,277.213524
-1.0645925,60,279.918562
-0.9781366,62,282.666175
-1.6937649,60,285.366659
-1.0938454,58,287.966505
-0.7584191,62,290.70244
-1.5467975,62,293.497942
-0.9906685,63,296.314816
-1.4145981,61,299.070534
-0.8779148,63,301.893913
-0.5832053,63,305.153
-1.0348024,61,308.100347
-1.1408964,61,311.134696
-1.2956157,60,314.10333
-0.57152814,62,317.156774
-0.81611466,62,320.512619
-0.97102875,61,323.635071
-1.0155749,64,327.707716
-0.843109,61,331.022002
-1.2892506,61,334.209059
-0.9388463,61,338.179993
-0.9316269,63,341.198182
-1.1046913,62,344.470427
-1.0558635,62,347.55278
-1.0451868,61,350.41612
-1.1284927,61,353.384972
-0.8361027,62,356.305597
-0.9470791,62,359.249316
-0.9676346,60,362.30869
-0.702524,59,365.131854
-1.2441713,64,368.579172
-1.0257466,61,372.25084
-1.2123951,64,376.007777
-0.9599879,58,379.288894
-1.3859111,57,382.241611
-1.051886,61,385.075987
