#{"t_start": 1631340292.5162334, "env_id": null}
r,l,t
-1.7736967,96,0.341803
-1.5992538,71,1.791978
-1.5601931,74,3.416025
-1.3103073,73,4.975133
-1.5298442,74,6.598222
-1.4283499,67,8.088346
-1.18425,67,9.583491
-1.2138971,65,10.97769
-2.006128,66,12.40587
-1.6720265,66,13.796093
-1.2016561,71,15.307207
-1.6021708,64,16.685418
-3.0309963,13,16.968254
-1.2198352,69,18.475391
-1.5129017,68,19.976529
-3.0737488,19,20.376301
-1.1482784,69,21.874439
-1.2495842,67,23.28863
-1.5998607,64,24.657845
-1.3071082,61,25.990079
-2.039711,58,27.237364
-1.9725605,59,28.536621
-1.5379226,59,29.801894
-2.1394615,66,31.244069
-1.3091723,60,32.557314
-1.2912651,57,33.794604
-1.5887891,59,35.063876
-3.4297507,11,35.294744
-3.0685215,17,35.680524
-3.4382007,11,35.914388
-3.039845,16,36.254194
-3.3292606,11,36.502051
-1.7749016,60,37.770324
-0.90252835,64,39.174519
-0.91479033,63,40.516749
-1.1528018,63,41.868973
-3.0487683,16,42.201782
-0.60176027,63,43.543013
-0.6648562,69,45.015168
-1.0472965,68,46.492324
-1.4030782,69,47.940492
-3.0929263,12,48.211338
-1.2722231,65,49.604537
-0.6443887,65,51.024722
-0.8905253,73,52.583828
-1.2157981,70,54.116949
-1.0528462,63,55.499158
-1.9164816,64,56.857378
-0.6955742,70,58.363516
-0.90626866,64,59.759712
-1.1107068,70,61.291835
-3.0213046,31,61.96445
-1.0547837,69,63.436604
-0.6880481,69,64.909759
-1.2050846,67,66.343937
-1.0619047,71,67.889052
-1.0274537,69,69.400185
-1.0089438,68,70.860347
-0.8022364,72,72.42645
-0.96852916,70,73.944577
-1.075943,72,75.501684
-0.46247706,68,76.951854
-0.94117945,68,78.419014
-1.2026733,68,79.87118
-0.9727644,74,81.465285
-0.83270204,63,82.832481
-1.1809692,68,84.308655
-0.43902156,67,85.762819
-1.7402483,63,87.152005
-1.1359016,68,88.628156
-0.7936546,68,90.07033
-0.9857979,75,91.715387
-1.1657858,66,93.120581
-1.061212,62,94.438824
-1.020279,64,95.826031
-1.1516309,66,97.235221
-1.1792213,66,98.665422
-0.71811765,66,100.089583
-1.2614294,66,101.494779
-0.9429546,62,102.835009
-1.0333413,63,104.202246
-0.55001605,63,105.558468
-0.7503545,66,106.977635
-1.2791729,67,108.428801
-0.58988196,68,109.898958
-1.1408435,70,111.393101
-0.81993234,64,112.801294
-0.6933747,63,114.165513
-1.4397182,63,115.540722
-1.078774,62,116.860965
-0.94628304,61,118.155224
-0.87938386,63,119.547426
-0.9856608,64,120.91664
-0.8812411,58,122.202902
-1.0353613,60,123.511153
-1.4352689,61,124.84139
-1.0770992,63,126.186618
-1.068094,62,127.49187
-0.67057407,61,128.831101
-0.99635094,60,130.123359
