#{"t_start": 1631340676.7581701, "env_id": null}
r,l,t
-1.8882766,87,0.33379
-1.6762992,55,1.323222
-1.0175768,67,2.800375
-1.2120829,71,4.427441
-0.97482884,64,5.889604
-1.3131174,69,7.400737
-0.89901614,66,8.860899
-0.94982934,63,10.231113
-0.9349968,65,11.660295
-1.1222087,66,13.134448
-1.2321172,65,14.6136
-1.0380963,69,16.131729
-0.9858009,66,17.605883
-1.0215918,62,18.981096
-0.8517564,65,20.417273
-1.2311506,66,21.929404
-1.275874,62,23.334598
-1.0481797,65,24.770775
-1.2542781,63,26.210949
-0.96117014,62,27.605149
-1.2175549,65,29.066312
-1.0528713,61,30.426532
-1.0211484,63,31.874701
-0.98192203,60,33.229923
-1.1681697,60,34.600138
-1.0434784,59,35.970352
-1.0741276,59,37.303587
-1.0961155,59,38.670804
-1.1175916,60,40.072021
-1.1747276,58,41.38127
-1.1871754,59,42.688499
-1.0966039,59,44.043721
-0.90478414,61,45.447917
-1.0909052,60,46.790146
-1.0249437,60,48.18135
-1.244512,58,49.514584
-1.1055245,62,50.932791
-1.1770165,61,52.362951
-1.1007361,60,53.706181
-0.95086884,62,55.093385
-1.1867385,62,56.505575
-1.3526896,62,57.89078
-1.3140072,57,59.203028
-1.2757826,56,60.474299
-1.3658626,57,61.768558
-1.4143351,59,63.12278
-1.2068492,59,64.469009
-1.2083006,58,65.808261
-1.2441944,60,67.184451
-1.3248162,58,68.51069
-1.1779381,59,69.862935
-1.2032658,63,71.302089
-1.0919362,58,72.650316
-1.0978347,58,73.986551
-0.8436326,65,75.486689
-1.0372027,61,76.836916
-1.0968428,62,78.240111
-1.1030627,61,79.655298
-1.1006778,64,81.128453
-1.0946236,61,82.517657
-1.1437172,64,83.935843
-1.3346653,65,85.397006
-1.0618141,63,86.843176
-1.0264021,61,88.255366
-0.91885364,61,89.594599
-1.0631639,61,90.985802
-0.6367339,63,92.392014
-0.8319311,61,93.781197
-1.0967196,61,95.213377
-0.9892864,59,96.574597
-1.2679646,63,98.027763
