#{"t_start": 1631345800.3188245, "env_id": null}
r,l,t
-2.0693157,88,0.318832
-0.901281,65,1.845922
-1.747372,60,3.531955
-0.77783066,63,5.314953
0.25668925,64,7.171867
-0.89489204,68,9.092765
-0.86236525,70,11.082625
-0.5210769,67,13.014518
-0.8472753,66,14.868453
-0.38620874,70,16.868307
-0.14151242,68,18.803197
-1.8752695,70,20.810049
-3.0396729,23,21.46667
-1.4464904,65,23.336597
-0.85483843,66,25.220516
-0.30949715,66,27.116429
-1.419844,65,28.984358
-0.7512832,67,30.927244
-0.601146,64,32.735208
-0.6139031,66,34.623125
-0.40488517,64,36.423091
-0.20016935,66,38.302014
-0.08971433,68,40.22691
0.04374322,64,42.05786
-0.6155403,67,43.948776
-0.5834173,66,45.828698
-1.829528,64,47.63766
-1.3956612,67,49.524578
-1.3413061,68,51.437501
-1.251239,62,53.205467
-1.4540733,64,55.004436
-1.9886913,61,56.759429
-1.2458231,67,58.647347
-1.0871713,62,60.415332
-0.6342679,67,62.399194
-0.77397233,66,64.275118
-0.6414881,68,66.239993
-0.5810989,61,68.005979
-0.2890224,63,69.840926
-0.110280864,67,71.730844
-0.4156204,64,73.592775
-1.3165056,60,75.348768
-0.8324681,70,77.332651
-0.9228964,73,79.442421
0.91947675,63,81.273391
-1.0063206,67,83.215256
0.20579192,67,85.157144
-0.63939583,71,87.189977
-0.7422506,64,89.030922
0.66441953,64,90.867869
0.82728773,65,92.743792
0.68828654,65,94.580759
-0.31937626,70,96.629564
-1.1181273,64,98.46951
-0.43352696,64,100.278471
-0.52250206,68,102.218359
-0.41011772,71,104.25519
-1.0190352,65,106.105132
-0.9953704,66,107.995066
-1.4596626,65,109.810005
-1.0467201,72,111.868825
-1.444447,70,113.831697
-1.310984,72,115.860534
-0.900009,70,117.868384
-2.336578,71,119.906216
-1.3928772,73,121.988021
-0.7921613,73,124.070826
-0.4904303,72,126.117652
-0.26105338,65,127.942608
0.08885666,65,129.814532
-0.22709848,64,131.63349
-0.3940885,65,133.509413
-0.85828584,64,135.331368
-0.298364,67,137.235277
-0.23608658,68,139.198152
-1.0669239,62,140.959141
-0.91989475,62,142.714155
0.26419306,64,144.514102
-0.795809,65,146.382031
-0.52942955,65,148.256956
-0.2692368,62,150.043931
-0.33230457,66,151.932868
-0.4313942,59,153.657859
-0.472592,62,155.419848
-0.56763333,68,157.366731
-0.5315418,65,159.227666
-1.5356807,66,161.139567
-0.8689655,65,163.006496
-0.9274307,63,164.853438
-0.76719844,60,166.579448
-0.74692315,64,168.446377
-0.8185622,67,170.360279
-0.7147441,67,172.262188
-0.9227219,66,174.128119
-0.46106964,68,176.079999
-0.38818327,67,177.998899
-0.90228647,60,179.726907
-0.9586586,66,181.62282
-1.1098077,60,183.369818
0.19698068,62,185.182778
-0.38843292,66,187.095681
-0.5370442,63,188.89465
-0.94082344,60,190.601671
-0.7406309,61,192.349689
-0.75647837,60,194.045697
-0.66323984,62,195.863653
-0.8869836,63,197.670616
-0.35917503,60,199.375639
-0.84371626,62,201.177605
-0.7957421,61,202.920608
-0.96540254,69,204.905468
-1.0368611,62,206.689445
-0.41192058,68,208.65032
-0.47439465,65,210.527245
-0.7142047,62,212.296229
-0.39094755,61,214.028236
-1.1982433,68,215.944137
-1.1244874,65,217.812067
-0.79573613,65,219.67
-0.8360485,61,221.419996
-0.36648455,61,223.195978
-1.1044604,61,224.969962
-0.46025524,65,226.824897
-0.5728627,61,228.648851
-0.57691485,63,230.5168
-0.56055915,61,232.306753
-0.42742953,64,234.191672
-0.6700008,59,235.943674
-0.3991917,62,237.72065
-1.1640611,71,239.774471
-0.33014342,65,241.633405
-0.81453556,64,243.470351
-0.20086165,66,245.38925
-0.5459328,66,247.27417
-0.6161134,65,249.21208
-0.31295958,61,250.992039
-0.51148367,67,252.917933
-0.41519967,64,254.762874
-1.0464518,63,256.554848
-0.95788264,61,258.316857
-0.8485458,62,260.115825
0.18227291,65,261.997725
-0.60452765,64,263.841669
-0.5925874,64,265.7036
-0.28497016,66,267.636491
-0.03848634,60,269.340515
-0.03968292,63,271.159474
-0.5647191,67,273.088365
-0.72238004,61,274.85935
-0.22195679,65,276.695297
-0.35720494,65,278.57122
-0.6782153,72,280.671017
-0.8988436,65,282.58294
-1.0970715,72,284.651734
-0.9948518,71,286.687566
-0.85748357,65,288.578481
-0.7069474,67,290.552349
-0.99585676,69,292.53921
-0.6690479,68,294.495089
-0.887285,62,296.295056
-1.0749229,72,298.388855
-0.82870084,64,300.240795
-0.40129948,63,302.053754
-1.0569646,66,304.028622
-0.79638124,65,305.91254
-1.2330422,65,307.787465
-0.84972847,68,309.753338
-1.1582087,70,311.820153
-0.7802378,69,313.812011
-1.1477897,65,315.698929
-0.65069014,64,317.552864
-0.8688094,67,319.499748
-1.095045,66,321.43164
-0.79210025,69,323.416503
-1.1183859,68,325.408359
-0.7755497,72,327.496162
-0.6184193,67,329.450045
-0.9932319,68,331.433904
-0.88805974,64,333.315824
-0.63202035,70,335.395632
-0.5786747,65,337.296542
-0.1670491,66,339.224437
-0.61588126,65,341.114354
-0.8812015,68,343.089221
-1.0244994,65,344.981135
-0.81443304,70,347.012969
-0.9873973,73,349.145747
-0.66007566,68,351.09163
-0.64272237,67,353.016526
-0.35433158,66,354.973405
-0.5745355,66,356.907295
-0.5240718,67,358.843186
-0.64191943,68,360.80406
-0.726749,72,362.905857
-0.69397557,68,364.909708
-0.8511005,70,366.946537
-0.74265283,70,369.000361
-0.7522708,69,371.034193
-0.85706973,70,373.103009
-0.40712288,66,375.061883
-0.6378708,67,377.010766
-0.59894973,67,378.964645
-0.926855,71,381.049449
-0.76823395,68,383.052302
-0.7580545,67,385.024173
-0.5684742,66,386.944071
-0.52954024,69,388.993895
-0.7112714,66,390.944776
-0.9809156,69,392.953623
-0.8253408,77,395.214347
-0.6769769,74,397.353101
-1.0768191,69,399.40992
-0.34835842,71,401.479733
-0.75915223,71,403.566557
-0.49954873,73,405.651341
-0.8750838,68,407.638202
-0.7430279,70,409.710014
-0.5369189,71,411.777848
-0.9435058,72,413.884619
