#{"t_start": 1631340423.5470753, "env_id": null}
r,l,t
-1.4569443,93,0.334824
-1.0040557,59,1.472174
-0.749604,74,3.092224
-1.2825323,65,4.499417
-1.048422,63,5.899614
-1.2112513,55,7.054953
-1.201506,57,8.289244
-0.8441083,67,9.776391
-0.6734447,64,11.167594
-0.9995427,63,12.551798
-1.2615454,61,13.914017
-1.0291871,66,15.363187
-0.93682766,63,16.740398
-0.9707675,65,18.127601
-1.0306721,62,19.470831
-1.0097967,62,20.804067
-0.9874723,65,22.243241
-1.1272038,63,23.650435
-0.9242338,66,25.074618
-0.76021945,67,26.56976
-1.1277404,68,28.049912
-1.0943269,67,29.542056
-1.4186532,69,31.062183
-0.84217405,69,32.565321
-1.1099172,71,34.142418
-0.974094,71,35.710518
-0.8417174,68,37.214654
-1.0219425,69,38.734784
-1.0291035,65,40.171979
-0.86602485,65,41.576154
-1.0186902,69,43.094286
-0.7975831,71,44.65139
-0.8184399,76,46.347418
-0.8466795,73,47.940524
-0.9821007,73,49.524597
-0.87634164,70,51.01674
-0.7326969,72,52.637813
-0.71489954,72,54.206909
-0.7785386,67,55.651083
-0.68787485,70,57.193197
-1.0264497,70,58.747327
-1.0151352,67,60.205472
-0.8103965,71,61.777569
-0.8991125,71,63.32768
-0.75793135,66,64.758858
-0.9837024,66,66.159056
-0.8640126,69,67.677185
-1.3842227,60,68.99543
-1.1547518,66,70.440601
-1.229289,66,71.869781
-1.1055326,65,73.305956
-1.1778893,64,74.756126
-1.255327,62,76.163317
-1.1768211,60,77.498554
-0.9357608,66,78.982701
-1.1400954,64,80.353915
-1.0535234,61,81.714136
-0.976331,59,83.020387
-1.1508304,63,84.395596
-0.913963,64,85.818782
-0.90273434,69,87.363897
-0.9578045,69,88.903033
-1.1497862,66,90.345186
-1.165432,64,91.753377
-0.92646843,69,93.288496
-1.2065512,61,94.629728
-1.2196715,65,96.0749
-1.1393158,64,97.504079
-0.9729576,69,99.027207
-1.0725839,66,100.458385
-1.0573171,61,101.817607
-1.1228774,63,103.175827
-1.1291367,69,104.718943
-0.9444768,69,106.242067
-1.1112301,68,107.7572
-0.9554997,67,109.239349
-3.0031357,27,109.810021
-1.4252573,63,111.267187
-1.186309,64,112.692369
-1.1232226,69,114.209498
-1.0765423,63,115.613694
-0.8706125,62,116.991903
-1.2077872,61,118.371112
-1.0801637,60,119.695352
-1.0771232,65,121.129532
-1.1509919,66,122.59269
-1.1231322,62,123.962906
-1.0351903,62,125.33112
-1.0206898,63,126.735315
-1.0856752,66,128.22846
-1.1293691,66,129.697619
-0.9849742,68,131.234736
-1.0432943,63,132.671912
-1.1332645,66,134.173051
-1.0792887,64,135.581242
-1.0870427,60,136.923472
-1.0681326,62,138.353652
-1.1739001,64,139.811815
-1.012219,65,141.301982
-1.1134838,62,142.695163
