#{"t_start": 1631344003.831101, "env_id": null}
r,l,t
-1.5630969,85,0.310817
-1.932821,53,1.38619
-1.1635904,62,3.059229
-1.0694952,65,4.875187
-1.1436528,60,6.544231
-1.1473714,65,8.3432
-1.08293,59,9.967267
-1.1606122,64,11.717285
-1.1682718,66,13.530224
-1.1389941,68,15.393156
-1.1691616,59,16.984243
-1.2579834,66,18.833183
-1.125103,65,20.690118
-1.1627473,63,22.436137
-1.0276682,65,24.233086
-1.1072365,63,25.975088
-1.0497334,65,27.778053
-1.0647241,63,29.559033
-0.89174414,64,31.281044
-1.2958832,61,32.96308
-0.91102946,66,34.806023
-0.89509284,67,36.695939
-1.4662541,61,38.375975
-1.0632797,64,40.134967
-1.220853,60,41.807008
-1.0912005,64,43.561002
-1.0776718,62,45.279017
-1.1281191,64,47.017041
-1.1343149,63,48.736036
-1.1212794,65,50.509019
-1.1759017,61,52.201048
-1.1973777,65,53.997017
-1.1019257,67,55.842958
-1.2068142,65,57.660915
-1.268233,65,59.428903
-1.1185666,66,61.240862
-1.2760371,61,62.931894
-1.072241,66,64.73486
-1.0088013,67,66.574824
-1.1224651,66,68.373771
-1.0881779,64,70.138759
-0.97298664,65,71.951721
-1.2067643,67,73.81565
-1.0274826,64,75.550675
-1.0188949,62,77.299654
-1.1138608,64,79.060642
-1.3733981,64,80.819635
-1.0867971,64,82.584623
-1.0600513,62,84.274652
-1.051765,65,86.063628
-1.0796032,66,87.902572
-0.97125554,70,89.884435
-1.0175487,64,91.656419
-1.2419555,63,93.410415
-1.1905509,61,95.094447
-1.1087664,64,96.882422
-1.2133551,65,98.693383
-1.1998501,62,100.403403
-0.9400608,61,102.065451
-1.1331993,61,103.765475
-1.1954122,63,105.492485
-1.1415293,62,107.222494
-1.0173955,61,108.915522
-1.0653714,63,110.659521
-1.0930021,63,112.424512
-1.1908007,63,114.169509
-1.2405443,67,115.994462
-1.1495289,63,117.749476
-1.0352585,64,119.521438
-1.1732496,63,121.278431
-1.0045027,66,123.108382
-1.0673372,64,124.857378
-1.0282766,65,126.66934
-0.87320584,65,128.493293
-1.047894,64,130.261301
-1.142989,64,132.022271
-1.0353837,63,133.778263
-1.0598619,64,135.564239
-1.111499,62,137.315255
-1.1370108,63,139.061232
-1.1398046,63,140.800236
-1.1684324,63,142.543237
-1.1251999,65,144.367191
-1.1277757,62,146.054224
-1.1715958,64,147.840199
-1.0332022,64,149.647161
-1.1552924,61,151.3242
-1.1269735,64,153.08419
-1.35025,62,154.77722
-1.0282965,62,156.473248
-1.0567138,62,158.206253
-1.1414677,64,159.958248
-1.18445,66,161.827176
-1.1378094,60,163.515208
-1.1042645,62,165.221231
-1.054442,64,167.020198
-1.0390453,60,168.700235
-1.099675,66,170.498204
-1.0291979,61,172.154255
-1.0912558,64,173.92224
-1.042925,62,175.651248
-1.028652,61,177.298304
-0.82340395,63,179.020319
-1.0457692,62,180.738333
-1.0261357,59,182.349407
-1.0475006,59,184.009455
-1.0413195,62,185.72647
-1.1319966,61,187.408505
-1.0073836,62,189.127521
-0.9901312,61,190.821549
-1.0751776,61,192.567549
-1.0812277,61,194.277567
-1.047104,63,196.004575
-1.0523545,62,197.726589
-0.99272335,61,199.386638
-1.4587561,60,201.067672
-1.091776,65,202.86964
-1.1691881,57,204.459728
-1.0530211,61,206.149758
-0.9281968,63,207.882764
-0.74809766,63,209.630761
-1.0063211,59,211.280818
-1.0406445,61,212.962851
-1.0840933,60,214.609906
-1.0288724,62,216.324943
-0.9838509,62,218.029944
-1.0232656,61,219.698988
-0.93505293,61,221.398012
-1.0717992,60,223.09504
-1.11065,62,224.781072
-0.8551755,60,226.44312
-1.0882143,61,228.122156
-1.0687828,62,229.857162
-0.97793317,60,231.528205
-0.93004,60,233.194249
-1.0035955,60,234.869288
-1.0729975,62,236.581305
-1.0324571,60,238.206375
-0.99921626,59,239.853429
-1.0186578,60,241.514476
-1.1312449,61,243.187517
-1.0930929,63,244.957502
-0.94969153,61,246.655529
-1.009205,60,248.318574
-1.0290886,62,250.053579
-0.967777,60,251.697637
-0.8848347,60,253.398681
-0.9650404,61,255.081696
-1.0260813,59,256.718756
-0.95547503,60,258.3858
-0.9531715,61,260.082827
-1.0823313,59,261.708894
-1.0342933,61,263.384933
-1.0477035,59,265.035989
-1.1565737,57,266.65106
-1.0434219,60,268.297118
-1.0151187,59,269.947191
-1.0622989,60,271.625209
-0.9495254,59,273.259272
-0.9509655,61,274.993276
