#{"t_start": 1631342246.9616592, "env_id": null}
r,l,t
-1.5014896,83,0.310821
-1.7710149,55,1.296241
-0.9462228,64,2.942298
-1.0501465,64,4.579358
-1.0382296,65,6.259396
-1.1379731,67,8.015389
-1.157203,66,9.722409
-1.1943786,69,11.510383
-1.274809,65,13.208409
-1.3099841,66,14.931425
-1.1648693,67,16.685416
-0.8500134,65,18.372469
-1.1475468,70,20.177413
-1.1283458,73,22.049341
-1.1170595,68,23.808331
-1.1987058,68,25.539339
-1.1518292,68,27.296352
-1.1197324,65,28.995356
-1.1444869,73,30.892269
-1.1007216,70,32.649261
-1.1377332,71,34.495202
-1.1475269,71,36.300167
-1.0550314,66,38.051163
-1.1019163,72,39.886111
-1.07508,65,41.598149
-1.0544035,66,43.312147
-1.1259004,64,44.958201
-1.1091399,68,46.701202
-0.95844245,69,48.527175
-1.1196662,66,50.218184
-1.0441053,68,51.983172
-1.1598126,65,53.647219
-1.051559,64,55.293276
-1.1229216,66,57.027281
-1.2747267,67,58.786271
-1.080384,65,60.470306
-1.0407784,66,62.174328
-1.0896009,67,63.959304
-0.97204596,63,65.626348
-1.0112478,64,67.270405
-0.9908916,66,68.947443
-1.0113446,64,70.568515
-1.1118352,63,72.224564
-1.0587767,63,73.879615
-1.5660757,59,75.407739
-1.0208876,66,77.115759
-1.1323152,64,78.782824
-0.9391444,66,80.475834
-0.9153451,65,82.140879
-1.0793086,64,83.830908
-1.0241811,65,85.503948
-0.992217,70,87.334899
-1.0394394,64,89.030927
-0.98356485,65,90.716959
-1.0708239,64,92.414988
-1.0113477,65,94.074054
-1.0814108,62,95.650129
-1.1245217,65,97.337183
-1.0947633,66,99.064171
-1.0663584,65,100.790183
-0.9695206,64,102.5022
-1.0298558,68,104.272186
-1.1489439,64,105.918242
-1.1034855,66,107.599278
-1.0153081,69,109.423232
-1.0957093,67,111.13425
-1.0942544,67,112.870255
-1.041928,69,114.678219
-1.0867832,66,116.394234
-1.1131355,65,118.082265
-1.15134,65,119.749309
-1.05164,66,121.495308
-1.117538,65,123.185339
-0.9684089,65,124.920343
-1.0843829,67,126.650352
-0.9160086,65,128.356375
-0.9219269,64,130.048402
-1.0555085,65,131.768416
-1.004714,62,133.398481
-1.0926834,65,135.051533
-1.0958438,66,136.766551
-1.0500079,66,138.465576
-1.0784549,66,140.173595
-1.1041101,64,141.791668
-0.9709546,64,143.445719
-1.0805113,66,145.192717
-1.0609791,67,146.895761
-1.1706053,68,148.648736
-1.0780956,64,150.311783
-1.15379,64,151.939848
-1.0837232,66,153.66186
-0.92636055,64,155.362885
-1.1416348,60,156.879016
-0.98805803,64,158.555054
-1.0460234,63,160.207127
-1.1005065,61,161.740229
-1.2386129,59,163.277345
-1.168654,61,164.842448
-0.9907932,64,166.521487
-1.0299951,65,168.205521
-1.0997176,67,169.963511
-0.9523475,64,171.628557
-1.0995814,61,173.242631
-1.057593,63,174.884691
-1.0607799,64,176.556731
-1.1495523,63,178.223774
-1.0938175,66,179.945787
-0.97462046,67,181.72177
-1.0112624,63,183.373823
-1.2723107,56,184.849976
-1.1056036,64,186.506026
-0.9987933,65,188.198054
-1.0663228,61,189.786144
-0.9668044,63,191.391224
-1.0681082,63,193.024286
-1.0504216,63,194.679337
-0.98883665,63,196.359375
-0.9965663,61,197.95146
-1.0505162,62,199.599517
-1.2160677,62,201.223583
-1.2256451,60,202.784688
-1.1948856,63,204.412757
-1.1872336,62,206.04182
-1.2006829,63,207.685878
-1.1227883,63,209.272968
-1.201635,65,210.934016
-1.247329,63,212.585069
-1.1853782,64,214.243117
-1.0774547,63,215.880178
-1.0565499,60,217.458274
-1.0924821,62,219.05236
-1.1089897,66,220.76338
-1.0307785,63,222.419449
-1.122662,59,223.948551
-1.0416458,64,225.62359
-1.1377825,64,227.260651
-1.0605698,63,228.935693
-0.9860349,63,230.572752
-1.0910839,62,232.205816
-1.0891643,62,233.843877
-1.0011194,61,235.431967
-1.032648,65,237.13499
-0.9452852,62,238.764055
-1.0155392,62,240.397119
-1.0340142,62,241.993203
-1.1807251,61,243.607278
-1.1975489,63,245.209358
-1.0429835,63,246.859412
-1.0406096,63,248.523459
-1.300754,65,250.239474
-1.0130996,62,251.874536
-1.1070554,62,253.468642
-1.0518031,60,255.064709
-1.0782738,65,256.763731
-1.2580923,63,258.394796
-1.0529505,62,260.034855
-1.0818472,64,261.712895
-1.0408304,62,263.342959
-1.1516105,65,265.051999
-0.97244155,60,266.589097
-1.2733696,64,268.253142
-1.1305891,63,269.901197
-1.0739826,61,271.494285
-1.0075191,60,273.067382
-1.1425561,65,274.758412
-1.1970576,61,276.353499
-1.1816181,63,278.010547
-1.1163814,57,279.4877
-1.0915991,61,281.069793
