#{"t_start": 1631330517.73238, "env_id": null}
r,l,t
2.1838582,12,0.058965
-0.6579284,13,0.107936
0.46353623,14,0.161907
-0.68232745,15,0.22587
1.7918482,11,0.277839
3.0938776,12,0.317818
-0.783193,13,0.382782
-0.73012745,13,0.429754
-0.66409296,13,0.481741
-0.11826265,12,0.520703
